episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited
133,400,18,18,-42.26,0.9368,0,1,32
134,400,22,22,-41.01,0.9364,0,1,32
135,400,20,20,-45.36,0.9359,0,1,32
136,400,23,23,-38.61,0.9354,0,1,32
137,400,25,25,-42.11,0.9349,0,1,32
138,400,16,16,-43.46,0.9345,0,1,32
139,400,22,22,-37.81,0.934,0,1,32
140,400,18,18,-55.26,0.9335,0,1,32
141,400,24,24,-34.56,0.933,0,1,32
142,400,32,32,-25.76,0.9325,0,1,32
143,400,29,29,-25.56,0.9321,0,1,32
144,400,14,14,-42.01,0.9316,0,1,32
145,400,26,26,-37.21,0.9311,0,1,32
146,400,18,18,-46.36,0.9306,0,1,32
147,400,24,24,-31.86,0.9302,0,1,32
148,400,20,20,-42.81,0.9297,0,1,32
149,400,22,22,-44.01,0.9292,0,1,32
150,400,22,22,-35.31,0.9287,0,1,32
151,400,15,15,-42.81,0.9283,0,1,32
152,400,25,25,-27.46,0.9278,0,1,32
153,400,17,17,-48.96,0.9273,0,1,32
154,400,20,20,-38.36,0.9268,0,1,32
155,400,28,28,-27.36,0.9264,0,1,32
156,400,22,22,-40.96,0.9259,0,1,32
157,400,24,24,-30.81,0.9254,0,1,32
158,400,21,21,-55.51,0.925,0,1,32
159,400,22,22,-40.66,0.9245,0,1,32
160,400,23,23,-42.76,0.924,0,1,32
161,400,13,13,-60.31,0.9235,0,1,32
162,400,27,27,-37.51,0.9231,0,1,32
163,400,25,27,-27.96,0.9226,0,1,32
164,400,14,14,-55.01,0.9221,0,1,32
165,400,23,23,-44.86,0.9216,0,1,32
166,400,27,27,-37.81,0.9212,0,1,32
167,400,17,17,-46.01,0.9207,0,1,32
168,400,22,22,-33.81,0.9202,0,1,32
169,400,13,13,-43.31,0.9197,0,1,32
170,400,17,17,-53.11,0.9193,0,1,32
171,400,34,34,-12.56,0.9188,0,1,32
172,400,27,27,-32.66,0.9183,0,1,32
173,400,26,26,-40.86,0.9178,0,1,32
174,400,23,23,-43.76,0.9173,0,1,32
175,400,31,31,-33.91,0.9169,0,1,32
176,400,31,31,-30.46,0.9164,0,1,32
177,400,12,14,-48.76,0.9159,0,1,32
178,400,32,32,-19.01,0.9154,0,1,32
179,400,16,16,-39.71,0.915,0,1,32
180,400,25,25,-29.76,0.9145,0,1,32
181,400,27,27,-24.21,0.914,0,1,32
182,400,25,25,-36.51,0.9135,0,1,32
183,400,23,23,-35.86,0.9131,0,1,32
184,400,28,28,-31.56,0.9126,0,1,32
185,400,22,22,-45.91,0.9121,0,1,32
186,400,23,23,-38.81,0.9116,0,1,32
187,400,23,23,-37.21,0.9112,0,1,32
188,400,23,23,-29.91,0.9107,0,1,32
189,400,22,22,-38.26,0.9102,0,1,32
190,400,28,28,-32.56,0.9098,0,1,32
191,400,19,19,-35.06,0.9093,0,1,32
192,400,21,21,-45.36,0.9088,0,1,32
193,400,32,32,-27.41,0.9083,0,1,32
194,400,27,27,-29.56,0.9079,0,1,32
195,400,18,18,-41.51,0.9074,0,1,32
196,400,26,26,-35.51,0.9069,0,1,32
197,400,25,25,-34.76,0.9064,0,1,32
198,400,20,20,-40.31,0.906,0,1,32
199,400,23,23,-42.06,0.9055,0,1,32
200,400,42,42,-12.56,0.905,0,1,32
201,400,13,13,-51.41,0.9045,0,1,32
202,400,23,23,-29.56,0.9041,0,1,32
203,400,34,34,-35.26,0.9036,0,1,32
204,400,23,23,-33.31,0.9031,0,1,32
205,400,24,24,-28.36,0.9026,0,1,32
206,400,31,31,-21.86,0.9022,0,1,32
207,400,31,31,-30.61,0.9017,0,1,32
208,400,29,29,-33.91,0.9012,0,1,32
209,400,21,21,-40.26,0.9007,0,1,32
210,400,26,26,-30.46,0.9002,0,1,32
211,400,23,23,-35.21,0.8998,0,1,32
212,400,24,24,-39.21,0.8993,0,1,32
213,400,23,23,-34.81,0.8988,0,1,32
214,400,24,24,-38.51,0.8983,0,1,32
215,400,27,27,-36.16,0.8979,0,1,32
216,400,33,33,-23.11,0.8974,0,1,32
217,400,28,28,-34.46,0.8969,0,1,32
218,400,23,25,-28.06,0.8964,0,1,32
219,400,25,25,-34.71,0.896,0,1,32
220,400,26,26,-34.16,0.8955,0,1,32
221,400,28,28,-27.56,0.895,0,1,32
222,400,20,20,-37.46,0.8945,0,1,32
223,400,27,27,-27.56,0.8941,0,1,32
224,400,26,26,-28.51,0.8936,0,1,32
225,400,22,22,-36.66,0.8931,0,1,32
226,400,29,29,-23.81,0.8926,0,1,32
227,400,23,23,-33.86,0.8922,0,1,32
228,400,28,28,-43.96,0.8917,0,1,32
229,400,19,19,-43.46,0.8912,0,1,32
230,400,39,39,-16.96,0.8908,0,1,32
231,400,26,26,-32.11,0.8903,0,1,32
232,400,27,27,-29.66,0.8898,0,1,32
233,400,24,24,-26.51,0.8893,0,1,32
234,400,29,29,-30.61,0.8889,0,1,32
235,400,18,18,-46.96,0.8884,0,1,32
236,400,32,32,-33.66,0.8879,0,1,32
237,400,14,14,-46.11,0.8874,0,1,32
238,400,20,20,-42.91,0.887,0,1,32
239,400,16,16,-43.51,0.8865,0,1,32
240,400,26,26,-31.96,0.886,0,1,32
241,400,30,30,-25.66,0.8855,0,1,32
242,400,23,23,-32.16,0.8851,0,1,32
243,400,28,28,-23.31,0.8846,0,1,32
244,400,18,18,-41.66,0.8841,0,1,32
245,400,15,15,-52.71,0.8836,0,1,32
246,400,31,31,-18.71,0.8831,0,1,32
247,400,28,30,-31.96,0.8827,0,1,32
248,400,31,31,-27.26,0.8822,0,1,32
249,400,31,31,-25.06,0.8817,0,1,32
250,400,24,24,-35.16,0.8812,0,1,32
251,400,23,23,-38.01,0.8808,0,1,32
252,400,32,34,-11.26,0.8803,0,1,32
253,400,20,20,-37.51,0.8798,0,1,32
254,400,27,27,-28.56,0.8793,0,1,32
255,400,29,29,-14.86,0.8789,0,1,32
256,400,24,24,-35.76,0.8784,0,1,32
257,400,20,22,-30.56,0.8779,0,1,32
258,400,32,32,-22.46,0.8775,0,1,32
259,400,15,15,-44.81,0.877,0,1,32
260,400,33,33,-28.66,0.8765,0,1,32
261,400,30,30,-36.01,0.876,0,1,32
262,400,29,29,-31.46,0.8756,0,1,32
263,400,31,31,-26.36,0.8751,0,1,32
264,400,21,21,-38.16,0.8746,0,1,32
265,400,26,26,-37.11,0.8741,0,1,32
266,400,33,33,-19.76,0.8737,0,1,32
267,400,25,25,-29.16,0.8732,0,1,32
268,400,22,22,-41.16,0.8727,0,1,32
269,400,28,28,-37.96,0.8722,0,1,32
270,400,21,21,-40.41,0.8718,0,1,32
271,400,33,33,-24.56,0.8713,0,1,32
272,400,28,28,-29.16,0.8708,0,1,32
273,400,29,29,-32.21,0.8703,0,1,32
274,400,32,32,-22.81,0.8699,0,1,32
275,400,18,18,-34.26,0.8694,0,1,32
276,400,29,29,-21.86,0.8689,0,1,32
277,400,23,23,-29.41,0.8684,0,1,32
278,400,25,25,-30.06,0.8679,0,1,32
279,400,31,31,-23.76,0.8675,0,1,32
280,400,27,27,-32.56,0.867,0,1,32
281,400,25,25,-37.11,0.8665,0,1,32
282,400,29,29,-32.06,0.866,0,1,32
283,400,29,29,-28.36,0.8656,0,1,32
284,400,29,31,-22.71,0.8651,0,1,32
285,400,32,32,-22.86,0.8646,0,1,32
286,400,33,33,-18.01,0.8641,0,1,32
287,400,21,21,-41.96,0.8637,0,1,32
288,400,36,36,-17.51,0.8632,0,1,32
289,400,29,29,-21.76,0.8627,0,1,32
290,400,30,30,-30.76,0.8622,0,1,32
291,400,26,26,-29.76,0.8618,0,1,32
292,400,29,29,-23.11,0.8613,0,1,32
293,400,30,30,-25.61,0.8608,0,1,32
294,400,29,29,-24.71,0.8603,0,1,32
295,400,33,33,-20.11,0.8599,0,1,32
296,400,37,37,-17.56,0.8594,0,1,32
297,400,16,16,-42.96,0.8589,0,1,32
298,400,27,27,-26.56,0.8585,0,1,32
299,400,32,32,-22.41,0.858,0,1,32
300,400,20,20,-29.06,0.8575,0,1,32
301,400,32,32,-16.01,0.857,0,1,32
302,400,37,37,-11.01,0.8566,0,1,32
303,400,33,33,-29.71,0.8561,0,1,32
304,400,39,39,-12.46,0.8556,0,1,32
305,400,29,29,-27.16,0.8551,0,1,32
306,400,22,22,-49.06,0.8547,0,1,32
307,400,38,38,-15.96,0.8542,0,1,32
308,400,23,23,-30.21,0.8537,0,1,32
309,400,33,33,-19.91,0.8532,0,1,32
310,400,31,31,-29.01,0.8528,0,1,32
311,400,39,39,-23.06,0.8523,0,1,32
312,400,32,32,-25.71,0.8518,0,1,32
313,400,24,24,-32.11,0.8513,0,1,32
314,400,36,36,-14.31,0.8508,0,1,32
315,400,23,23,-25.26,0.8504,0,1,32
316,400,34,34,-24.41,0.8499,0,1,32
317,400,36,36,-13.96,0.8494,0,1,32
318,400,31,33,-26.31,0.8489,0,1,32
319,400,35,37,-10.86,0.8485,0,1,32
320,400,30,30,-30.11,0.848,0,1,32
321,400,27,27,-32.36,0.8475,0,1,32
322,400,30,30,-18.66,0.847,0,1,32
323,400,19,19,-33.16,0.8466,0,1,32
324,400,36,36,-20.06,0.8461,0,1,32
325,400,42,42,-10.96,0.8456,0,1,32
326,400,29,29,-27.91,0.8452,0,1,32
327,400,35,35,-10.21,0.8447,0,1,32
328,400,38,38,-11.31,0.8442,0,1,32
329,400,39,39,-11.96,0.8437,0,1,32
330,400,27,27,-23.31,0.8433,0,1,32
331,400,33,33,-20.96,0.8428,0,1,32
332,400,28,28,-24.91,0.8423,0,1,32
333,400,36,36,-9.96,0.8418,0,1,32
334,400,32,32,-30.06,0.8414,0,1,32
335,400,28,28,-21.46,0.8409,0,1,32
336,400,33,33,-21.91,0.8404,0,1,32
337,400,32,32,-22.31,0.8399,0,1,32
338,400,30,30,-24.86,0.8395,0,1,32
339,400,37,37,-14.91,0.839,0,1,32
340,400,32,32,-20.11,0.8385,0,1,32
341,400,24,24,-28.41,0.838,0,1,32
342,400,29,29,-25.21,0.8376,0,1,32
343,400,32,32,-19.46,0.8371,0,1,32
344,400,30,30,-22.06,0.8366,0,1,32
345,400,34,34,-27.86,0.8361,0,1,32
346,400,33,33,-23.16,0.8357,0,1,32
347,400,29,31,-31.71,0.8352,0,1,32
348,400,21,21,-35.26,0.8347,0,1,32
349,400,27,27,-31.96,0.8342,0,1,32
350,400,30,30,-31.21,0.8337,0,1,32
351,400,33,33,-26.51,0.8333,0,1,32
352,400,30,30,-17.11,0.8328,0,1,32
353,400,40,40,-20.41,0.8323,0,1,32
354,400,38,38,-10.51,0.8318,0,1,32
355,400,30,30,-22.21,0.8314,0,1,32
356,400,25,25,-29.91,0.8309,0,1,32
357,400,27,27,-30.46,0.8304,0,1,32
358,400,28,28,-26.36,0.8299,0,1,32
359,400,23,23,-30.91,0.8295,0,1,32
360,400,21,21,-31.81,0.829,0,1,32
361,400,36,36,-17.96,0.8285,0,1,32
362,400,39,39,-12.01,0.828,0,1,32
363,400,33,33,-17.11,0.8276,0,1,32
364,400,43,43,-16.86,0.8271,0,1,32
365,400,30,32,-22.71,0.8266,0,1,32
366,400,36,36,-13.96,0.8262,0,1,32
367,400,25,25,-37.11,0.8257,0,1,32
368,400,37,37,-24.16,0.8252,0,1,32
369,400,30,30,-20.86,0.8247,0,1,32
370,400,23,23,-29.61,0.8243,0,1,32
371,400,23,23,-32.66,0.8238,0,1,32
372,400,34,34,-20.31,0.8233,0,1,32
373,400,32,32,-25.96,0.8228,0,1,32
374,400,20,22,-29.06,0.8224,0,1,32
375,400,35,35,-24.26,0.8219,0,1,32
376,400,32,32,-25.76,0.8214,0,1,32
377,400,31,31,-21.66,0.8209,0,1,32
378,400,23,23,-34.96,0.8205,0,1,32
379,400,29,29,-23.46,0.82,0,1,32
380,400,35,35,-15.56,0.8195,0,1,32
381,400,19,19,-29.46,0.819,0,1,32
382,400,35,35,-18.76,0.8185,0,1,32
383,400,31,31,-22.36,0.8181,0,1,32
384,400,35,35,-18.86,0.8176,0,1,32
385,400,39,39,-16.86,0.8171,0,1,32
386,400,35,35,-15.46,0.8166,0,1,32
387,400,33,33,-17.16,0.8162,0,1,32
388,400,40,40,-13.71,0.8157,0,1,32
389,400,34,34,-23.06,0.8152,0,1,32
390,400,36,36,-6.21,0.8147,0,1,32
391,400,38,38,-18.76,0.8143,0,1,32
392,400,32,32,-20.71,0.8138,0,1,32
393,400,30,30,-21.21,0.8133,0,1,32
394,400,28,28,-25.36,0.8128,0,1,32
395,400,33,33,-22.46,0.8124,0,1,32
396,400,40,40,-22.71,0.8119,0,1,32
397,400,35,35,-19.86,0.8114,0,1,32
398,400,30,30,-23.41,0.811,0,1,32
399,400,41,41,-4.06,0.8105,0,1,32
400,400,49,49,0.64,0.81,0,1,32
401,400,28,30,-25.26,0.8095,0,1,32
402,400,35,35,-17.86,0.8091,0,1,32
403,400,42,42,-2.46,0.8086,0,1,32
404,400,29,29,-31.56,0.8081,0,1,32
405,400,31,31,-22.66,0.8076,0,1,32
406,400,35,35,-18.91,0.8072,0,1,32
407,400,39,39,-14.26,0.8067,0,1,32
408,400,42,42,-7.66,0.8062,0,1,32
409,400,32,32,-28.66,0.8057,0,1,32
410,400,37,37,-9.41,0.8053,0,1,32
411,400,34,34,-12.56,0.8048,0,1,32
412,400,31,31,-25.36,0.8043,0,1,32
413,400,41,41,-12.31,0.8038,0,1,32
414,400,37,37,-15.51,0.8034,0,1,32
415,400,35,37,-15.51,0.8029,0,1,32
416,400,37,37,-23.61,0.8024,0,1,32
417,400,36,36,-16.86,0.8019,0,1,32
418,400,34,34,-12.71,0.8014,0,1,32
419,400,35,35,-12.01,0.801,0,1,32
420,400,40,40,-6.46,0.8005,0,1,32
421,400,43,45,-4.56,0.8,0,1,32
422,400,47,49,0.89,0.7995,0,1,32
423,400,29,29,-19.21,0.7991,0,1,32
424,400,38,38,-5.46,0.7986,0,1,32
425,400,31,31,-18.76,0.7981,0,1,32
426,400,45,45,-12.01,0.7976,0,1,32
427,400,43,43,-11.76,0.7972,0,1,32
428,400,36,36,-9.76,0.7967,0,1,32
429,400,36,36,-14.01,0.7962,0,1,32
430,400,44,44,-2.56,0.7957,0,1,32
