episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
103,5,0,0,4,1,-3.7,0.9511,1,0,0.4405
104,18,0,0,1,2,-5.08,0.9506,1,0,0.4406
105,7,0,0,5,1,-3.67,0.9501,1,0,0.4439
106,7,0,0,3,1,-4.22,0.9496,1,0,0.4472
107,5,0,0,4,1,-4.0,0.9492,1,0,0.451
108,6,0,0,2,1,-4.66,0.9487,1,0,0.456
109,7,0,0,2,1,-4.47,0.9482,1,0,0.4578
110,10,0,0,6,1,-3.25,0.9477,1,0,0.4579
111,6,0,0,3,1,-4.26,0.9473,1,0,0.4619
112,6,0,0,4,1,-4.06,0.9468,1,0,0.4657
113,6,0,0,1,1,-4.81,0.9463,1,0,0.4707
114,31,1,1,5,3,-3.41,0.9458,1,0,0.4705
115,5,0,0,2,1,-4.55,0.9454,1,0,0.4726
116,14,0,0,3,1,-4.24,0.9449,1,0,0.4737
117,7,0,0,1,1,-4.82,0.9444,1,0,0.4778
118,6,0,0,2,1,-4.51,0.9439,1,0,0.4805
119,18,0,0,1,1,-5.33,0.9435,1,0,0.4799
120,7,0,0,3,1,-4.17,0.943,1,0,0.4831
121,6,0,0,3,1,-4.26,0.9425,1,0,0.4864
122,6,0,0,2,1,-4.61,0.9421,1,0,0.4902
123,6,0,0,4,1,-3.86,0.9416,1,0,0.4927
124,6,0,0,2,1,-4.51,0.9411,1,0,0.4972
125,15,1,1,5,2,-2.55,0.9406,1,0,0.4989
126,7,0,0,2,1,-4.37,0.9402,1,0,0.5009
127,7,0,0,3,1,-4.32,0.9397,1,0,0.5039
128,7,0,0,2,1,-4.62,0.9392,1,0,0.5081
129,5,0,0,4,1,-3.9,0.9387,1,0,0.507
130,5,0,0,4,1,-3.9,0.9383,1,0,0.5095
131,5,0,0,2,1,-4.5,0.9378,1,0,0.5108
132,8,0,0,4,1,-3.98,0.9373,1,0,0.5128
133,5,0,0,4,1,-3.9,0.9368,1,0,0.516
134,5,0,0,3,1,-4.1,0.9364,1,0,0.5202
135,25,1,1,6,3,-2.8,0.9359,1,0,0.5229
136,17,0,0,3,2,-4.32,0.9354,1,0,0.5232
137,5,0,0,3,1,-4.2,0.9349,1,0,0.5262
138,10,0,0,3,1,-4.25,0.9345,1,0,0.5279
139,7,0,0,2,1,-4.47,0.934,1,0,0.5294
140,7,0,0,3,1,-4.27,0.9335,1,0,0.533
141,7,0,0,2,1,-4.47,0.933,1,0,0.5372
142,7,0,0,4,1,-3.87,0.9325,1,0,0.5403
143,9,0,0,3,1,-4.44,0.9321,1,0,0.5437
144,5,0,0,2,1,-4.6,0.9316,1,0,0.5472
145,5,0,0,4,1,-3.9,0.9311,1,0,0.5494
146,7,0,0,3,1,-4.07,0.9306,1,0,0.5507
147,8,0,0,4,1,-3.98,0.9302,1,0,0.5524
148,5,0,0,1,1,-4.75,0.9297,1,0,0.5545
149,6,0,0,3,1,-4.01,0.9292,1,0,0.5565
150,15,0,0,7,2,-2.9,0.9287,1,0,0.556
151,9,0,0,2,1,-4.59,0.9283,1,0,0.5596
152,9,0,0,4,1,-3.84,0.9278,1,0,0.5609
153,7,0,0,3,1,-4.02,0.9273,1,0,0.5627
154,26,0,0,6,3,-4.01,0.9268,1,0,0.565
155,5,0,0,2,1,-4.6,0.9264,1,0,0.5684
156,7,0,0,2,1,-4.72,0.9259,1,0,0.5718
157,7,0,0,4,1,-3.62,0.9254,1,0,0.5729
158,9,0,0,2,1,-4.69,0.925,1,0,0.5758
159,10,0,0,2,1,-4.5,0.9245,1,0,0.5773
160,5,0,0,2,1,-4.35,0.924,1,0,0.5794
161,5,0,0,3,1,-4.2,0.9235,1,0,0.582
162,5,0,0,2,1,-4.6,0.9231,1,0,0.5861
163,5,0,0,1,1,-4.9,0.9226,1,0,0.5907
164,5,0,0,2,1,-4.5,0.9221,1,0,0.5951
165,5,0,0,2,1,-4.5,0.9216,1,0,0.5989
166,8,0,0,3,1,-4.33,0.9212,1,0,0.6012
167,5,0,0,2,1,-4.45,0.9207,1,0,0.6051
168,7,0,0,2,1,-4.47,0.9202,1,0,0.6068
169,7,0,0,3,1,-4.07,0.9197,1,0,0.6081
170,5,0,0,4,1,-3.8,0.9193,1,0,0.6099
171,16,0,0,3,2,-4.41,0.9188,1,0,0.6131
172,23,0,0,3,2,-4.88,0.9183,1,0,0.6133
173,5,0,0,3,1,-4.3,0.9178,1,0,0.6167
174,5,0,0,4,1,-3.7,0.9173,1,0,0.6189
175,5,0,0,3,1,-4.2,0.9169,1,0,0.6213
176,8,0,0,2,1,-4.43,0.9164,1,0,0.6227
177,6,0,0,2,1,-4.51,0.9159,1,0,0.6249
178,5,0,0,3,1,-4.2,0.9154,1,0,0.6273
179,9,0,0,2,1,-4.64,0.915,1,0,0.6302
180,16,0,0,6,2,-3.41,0.9145,1,0,0.6309
181,10,0,0,4,1,-3.9,0.914,1,0,0.632
182,7,0,0,1,1,-4.77,0.9135,1,0,0.636
183,21,1,1,6,2,-2.46,0.9131,1,0,0.636
