episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
1,400,18,18,-50.35,0.9995,0,1,13,-0.13648,0.00769,-0.13692,0.01294,-0.01634,0.0
2,400,10,10,-59.55,0.999,0,1,16,-0.27454,0.04064,-0.22416,0.07,-0.0162,0.0
3,400,29,29,-32.45,0.9986,0,1,20,-0.28525,0.17207,-0.29946,0.41408,0.09283,0.0
4,400,20,20,-43.55,0.9981,0,1,22,-0.24051,0.31724,-0.25267,0.51868,0.17504,0.0
5,400,19,19,-51.05,0.9976,0,1,22,-0.22505,0.37,-0.25267,0.49793,0.17504,0.0
6,400,13,13,-51.1,0.9971,0,1,23,-0.10896,0.58602,-0.11269,0.5099,0.35924,0.0
7,400,18,18,-49.5,0.9967,0,1,23,-0.04405,0.59524,-0.05395,0.63523,0.38743,0.0
8,400,19,19,-44.5,0.9962,0,1,24,0.07055,0.62067,0.05191,0.85423,0.44937,0.0
9,400,11,11,-58.95,0.9957,0,1,25,0.08856,0.70903,0.17566,0.93899,0.61063,0.0
10,400,18,18,-42.6,0.9952,0,1,26,0.12831,0.80436,0.17336,0.89152,0.68007,0.0
11,400,22,23,-42.45,0.9948,0,1,26,0.12831,0.82621,0.21623,1.00564,0.69413,0.0
12,400,22,22,-44.75,0.9943,0,1,29,0.35054,0.8569,0.41461,1.15333,0.86637,0.0
13,400,19,19,-49.9,0.9938,0,1,29,0.40836,0.79645,0.48022,1.14751,0.93067,0.0
14,400,18,18,-47.8,0.9933,0,1,30,0.4851,0.91352,0.4998,1.08536,0.94768,0.0
15,400,14,14,-47.0,0.9929,0,1,30,0.47625,0.91783,0.47948,1.01624,0.92253,0.0
16,400,12,12,-57.1,0.9924,0,1,31,0.42347,0.78147,0.42442,0.94406,0.82828,0.0
17,400,24,24,-29.35,0.9919,0,1,31,0.39013,0.84139,0.39935,0.93943,0.80871,0.0
18,400,13,13,-57.95,0.9915,0,1,31,0.37608,0.93795,0.37798,0.97252,0.80714,0.0
19,400,23,23,-38.75,0.991,0,1,31,0.40606,0.90237,0.41285,1.03462,0.85311,0.0
20,400,22,22,-45.0,0.9905,0,1,31,0.42098,0.89598,0.4573,1.24301,0.8904,0.0
21,400,25,25,-40.8,0.99,0,1,31,0.59549,1.08881,0.61857,1.38347,1.03347,0.0
22,400,13,13,-54.3,0.9896,0,1,31,0.61746,1.10852,0.61857,1.36328,1.04647,0.0
23,400,21,21,-53.85,0.9891,0,1,31,0.563,1.07048,0.63514,1.18333,1.11463,0.0
24,400,21,21,-43.0,0.9886,0,1,31,0.66441,1.15097,0.67499,1.40178,1.14913,0.0
25,400,15,15,-54.3,0.9881,0,1,31,0.67408,1.17002,0.67859,1.32542,1.14796,0.0
26,400,21,21,-44.75,0.9877,0,1,31,0.65058,1.12074,0.66377,1.18109,1.14796,0.0
27,400,21,21,-49.05,0.9872,0,1,31,0.6566,1.29042,0.64575,1.48778,1.1148,0.0
28,400,27,27,-38.15,0.9867,0,1,31,0.7201,1.23837,0.74091,1.33167,1.20078,0.0
29,400,16,16,-56.5,0.9862,0,1,31,0.75016,1.28324,0.76171,1.44025,1.21541,0.0
30,400,18,18,-44.75,0.9858,0,1,31,0.74951,1.20476,0.77056,1.45739,1.22302,0.0
31,400,15,15,-55.75,0.9853,0,1,31,0.85089,1.25547,0.84341,1.57027,1.28767,0.0
32,400,17,17,-50.55,0.9848,0,1,31,0.90024,1.23136,0.8781,1.58133,1.33594,0.0
33,400,16,16,-55.45,0.9843,0,1,31,0.80106,1.3574,0.80947,1.39052,1.26249,0.0
34,400,19,19,-36.85,0.9839,0,1,31,0.80039,1.24458,0.79142,1.3225,1.2444,0.0
35,400,18,18,-46.45,0.9834,0,1,31,0.79078,1.26329,0.79142,1.42788,1.2444,0.0
36,400,22,22,-42.4,0.9829,0,1,31,0.744,1.18284,0.75468,1.44435,1.19608,0.0
37,400,8,8,-63.8,0.9824,0,1,31,0.744,1.18284,0.75328,1.40678,1.19915,0.0
38,400,11,11,-61.6,0.9819,0,1,31,0.76486,1.0727,0.78729,1.61296,1.24619,0.0
39,400,12,12,-50.2,0.9815,0,1,31,0.75204,1.31398,0.85358,1.47312,1.29778,0.0
40,400,7,7,-63.45,0.981,0,1,31,0.83011,1.15769,0.86395,1.38337,1.29717,0.0
41,400,18,18,-39.6,0.9805,0,1,31,0.83182,1.29205,0.84804,1.55695,1.29197,0.0
42,400,22,22,-47.55,0.98,0,1,31,0.87136,1.20432,0.86465,1.43088,1.33314,0.0
43,400,16,16,-45.25,0.9796,0,1,31,0.83108,1.35031,0.83211,1.49884,1.28172,0.0
44,400,18,18,-40.7,0.9791,0,1,31,0.84311,1.34282,0.84569,1.62894,1.29283,0.0
45,400,22,22,-43.9,0.9786,0,1,31,0.90733,1.3693,0.93418,1.64508,1.34304,0.0
46,400,19,19,-49.65,0.9781,0,1,31,0.92744,1.38142,0.94587,1.62998,1.3744,0.0
47,400,17,17,-49.5,0.9777,0,1,31,0.89749,1.2918,0.91351,1.53448,1.34251,0.0
48,400,19,19,-49.2,0.9772,0,1,31,0.88052,1.28485,0.89249,1.51248,1.32225,0.0
49,400,24,24,-39.15,0.9767,0,1,31,0.91698,1.3483,0.90772,1.72357,1.33698,0.0
50,400,6,6,-74.05,0.9762,0,1,31,0.94126,1.26949,0.94407,1.48032,1.39006,0.0
51,400,18,18,-44.45,0.9758,0,1,31,0.90954,1.33498,0.92989,1.5796,1.37148,0.0
52,400,27,27,-28.75,0.9753,0,1,31,0.93795,1.4274,0.96069,1.65505,1.40136,0.0
53,400,18,18,-46.25,0.9748,0,1,31,0.95475,1.48829,0.97087,1.6534,1.42208,0.0
54,400,19,20,-38.2,0.9744,0,1,31,0.95029,1.47567,0.96655,1.56168,1.41142,0.0
55,400,21,21,-45.6,0.9739,0,1,31,0.91763,1.47371,0.92902,1.62974,1.3902,0.0
56,400,7,7,-65.65,0.9734,0,1,31,0.93349,1.51847,0.94706,1.64238,1.3942,0.0
57,400,17,17,-42.65,0.9729,0,1,31,0.96788,1.49055,0.96955,1.66224,1.42517,0.0
58,400,23,23,-40.4,0.9725,0,1,31,0.98953,1.5015,0.97756,1.63466,1.43413,0.0
59,400,12,12,-56.1,0.972,0,1,31,0.98762,1.5015,0.97756,1.62981,1.43413,0.0
60,400,22,22,-42.15,0.9715,0,1,31,0.99397,1.54725,0.98776,1.73209,1.44057,0.0
61,400,22,22,-50.25,0.971,0,1,31,1.03882,1.55705,1.0151,1.78525,1.47149,0.0
62,400,19,19,-45.05,0.9706,0,1,31,1.07491,1.55554,1.05138,1.74696,1.50353,0.0
63,400,14,14,-55.2,0.9701,0,1,31,1.07109,1.56405,1.05289,1.82328,1.5109,0.0
64,400,16,16,-60.55,0.9696,0,1,31,1.07133,1.54682,1.06351,1.63402,1.5284,0.0
65,400,15,15,-51.5,0.9691,0,1,31,1.03507,1.50157,1.02513,1.69798,1.46136,0.0
66,400,14,14,-56.25,0.9687,0,1,31,1.00703,1.50527,0.91909,1.65775,1.45138,0.0
67,400,30,30,-28.95,0.9682,0,1,31,1.00992,1.53855,0.98986,1.76299,1.47208,0.0
68,400,14,14,-48.9,0.9677,0,1,31,1.05387,1.58158,1.03643,1.74327,1.47923,0.0
69,400,22,23,-28.35,0.9672,0,1,31,1.05464,1.62439,1.04241,1.71834,1.491,0.0
70,400,17,17,-41.1,0.9667,0,1,31,1.05276,1.59559,1.03789,1.74456,1.39544,0.0
71,400,12,12,-55.65,0.9663,0,1,31,1.02525,1.5569,1.015,1.54586,1.44351,0.0
72,400,10,10,-49.75,0.9658,0,1,32,0.94862,1.3399,0.95906,1.55081,1.40354,0.0
73,400,7,7,-64.9,0.9653,0,1,32,0.94116,1.34949,0.9469,1.55013,1.39539,0.0
74,400,17,17,-52.6,0.9648,0,1,32,0.93625,1.3729,0.94053,1.62784,1.39459,0.0
75,400,19,20,-47.75,0.9644,0,1,32,0.95046,1.48134,0.95325,1.6348,1.41306,0.0
76,400,12,12,-50.75,0.9639,0,1,32,0.95397,1.50951,0.95405,1.63476,1.41319,0.0
77,400,29,29,-33.15,0.9634,0,1,32,0.97129,1.52832,0.95934,1.73696,1.42333,0.0
78,400,25,25,-30.6,0.9629,0,1,32,1.06029,1.61534,1.02712,1.82796,1.47514,0.0
