episode,coins_collected,total_reward,epsilon
214,2,-1.0,0.98729375
215,1,-6.0,0.987234375
216,1,-3.0,0.987175
217,1,-2.0,0.987115625
218,1,-4.0,0.98705625
219,0,-6.0,0.986996875
220,0,-3.0,0.9869375
221,1,-2.0,0.986878125
222,4,-4.0,0.98681875
223,2,1.0,0.986759375
224,1,-3.0,0.9867
225,0,-2.0,0.986640625
226,0,-2.0,0.98658125
227,3,-2.0,0.986521875
228,0,-7.0,0.9864625
229,1,-2.0,0.986403125
230,1,-3.0,0.98634375
231,1,-6.0,0.986284375
232,0,-6.0,0.986225
233,0,-8.0,0.986165625
234,0,-2.0,0.98610625
235,0,-1.0,0.986046875
236,1,-1.0,0.9859875
237,1,-2.0,0.985928125
238,0,-5.0,0.98586875
239,1,-10.0,0.985809375
240,2,-8.0,0.98575
241,2,-10.0,0.985690625
242,1,-4.0,0.98563125
243,3,0.0,0.985571875
244,0,-2.0,0.9855125
245,0,-3.0,0.985453125
246,1,-13.0,0.98539375
247,1,-2.0,0.985334375
248,0,0.0,0.985275
249,2,-1.0,0.985215625
250,0,-13.0,0.98515625
251,1,-2.0,0.985096875
252,0,-6.0,0.9850375
253,1,-1.0,0.984978125
254,2,0.0,0.98491875
255,1,-3.0,0.984859375
256,1,1.0,0.9848
257,4,-1.0,0.984740625
258,3,-8.0,0.98468125
259,1,-2.0,0.984621875
260,2,1.0,0.9845625
261,1,-4.0,0.984503125
262,1,0.0,0.98444375
263,1,-7.0,0.984384375
264,1,-1.0,0.984325
265,0,-2.0,0.984265625
266,3,-11.0,0.98420625
267,0,0.0,0.984146875
268,1,-5.0,0.9840875
269,0,-6.0,0.984028125
270,2,1.0,0.98396875
271,0,-6.0,0.983909375
272,0,-2.0,0.98385
273,1,0.0,0.983790625
274,0,-4.0,0.98373125
275,1,-3.0,0.983671875
276,0,-3.0,0.9836125
277,1,-3.0,0.983553125
278,1,-2.0,0.98349375
279,0,-4.0,0.983434375
280,1,-2.0,0.983375
281,1,-1.0,0.983315625
282,1,-3.0,0.98325625
283,0,-2.0,0.983196875
284,0,-1.0,0.9831375
285,0,-4.0,0.983078125
286,0,-3.0,0.98301875
287,1,-1.0,0.982959375
288,0,-5.0,0.9829
289,1,-2.0,0.982840625
290,1,-6.0,0.98278125
291,0,-5.0,0.982721875
292,6,-5.0,0.9826625
293,2,-6.0,0.982603125
294,1,0.0,0.98254375
295,0,-3.0,0.982484375
296,0,0.0,0.982425
297,0,-3.0,0.982365625
298,0,-4.0,0.98230625
299,0,-4.0,0.982246875
300,2,-1.0,0.9821875
301,0,-2.0,0.982128125
302,0,-4.0,0.98206875
303,2,-2.0,0.982009375
304,1,-7.0,0.98195
305,1,-12.0,0.981890625
306,0,-2.0,0.98183125
307,1,-2.0,0.981771875
308,2,-3.0,0.9817125
309,2,-1.0,0.981653125
310,0,-2.0,0.98159375
311,1,-3.0,0.981534375
312,1,-2.0,0.981475
313,2,-6.0,0.981415625
314,0,-3.0,0.98135625
315,0,-1.0,0.981296875
316,2,-4.0,0.9812375
317,0,-1.0,0.981178125
318,1,-1.0,0.98111875
319,1,2.0,0.981059375
320,2,1.0,0.981
321,2,-10.0,0.980940625
322,1,1.0,0.98088125
323,0,-4.0,0.980821875
324,0,-3.0,0.9807625
325,1,-4.0,0.980703125
326,0,-3.0,0.98064375
327,1,-3.0,0.980584375
328,1,-2.0,0.980525
329,1,-5.0,0.980465625
330,0,-3.0,0.98040625
331,1,-2.0,0.980346875
332,2,-6.0,0.9802875
333,0,-2.0,0.980228125
334,1,-7.0,0.98016875
335,0,-5.0,0.980109375
336,2,-1.0,0.98005
337,2,-2.0,0.979990625
338,1,-3.0,0.97993125
339,1,-6.0,0.979871875
340,2,-4.0,0.9798125
341,0,-4.0,0.979753125
342,0,-4.0,0.97969375
343,0,-2.0,0.979634375
344,3,-5.0,0.979575
345,0,0.0,0.979515625
346,1,-2.0,0.97945625
347,1,-2.0,0.9793968750000001
348,1,-1.0,0.9793375
349,0,-1.0,0.979278125
350,2,-2.0,0.97921875
351,2,-2.0,0.979159375
352,0,-3.0,0.9791
353,1,-6.0,0.979040625
354,2,-4.0,0.97898125
355,1,-6.0,0.978921875
356,1,-2.0,0.9788625
357,0,-3.0,0.978803125
358,0,-1.0,0.97874375
359,0,-2.0,0.978684375
360,0,-5.0,0.978625
361,2,-3.0,0.978565625
362,2,-5.0,0.97850625
363,0,-10.0,0.978446875
364,0,-5.0,0.9783875
365,1,-2.0,0.978328125
366,2,-6.0,0.97826875
367,3,-7.0,0.978209375
368,1,-1.0,0.97815
369,0,-7.0,0.978090625
370,1,-2.0,0.97803125
371,0,-9.0,0.977971875
372,0,-4.0,0.9779125
373,1,-4.0,0.977853125
374,1,-3.0,0.97779375
375,0,0.0,0.977734375
376,1,-2.0,0.977675
377,0,-2.0,0.977615625
378,0,-1.0,0.97755625
379,2,-2.0,0.977496875
380,1,-5.0,0.9774375
381,0,-7.0,0.977378125
382,2,0.0,0.97731875
383,2,-2.0,0.977259375
384,0,-7.0,0.9772
385,1,-5.0,0.977140625
386,0,-3.0,0.97708125
387,1,-1.0,0.977021875
388,2,0.0,0.9769625
389,1,-5.0,0.976903125
390,2,-1.0,0.97684375
391,0,-3.0,0.976784375
392,1,-6.0,0.976725
393,0,-6.0,0.976665625
394,2,-5.0,0.97660625
395,0,-5.0,0.976546875
396,1,-5.0,0.9764875
397,4,2.0,0.976428125
398,0,-4.0,0.97636875
399,1,-10.0,0.976309375
400,0,-3.0,0.97625
401,0,-1.0,0.976190625
402,1,-2.0,0.97613125
403,1,-6.0,0.976071875
404,1,-1.0,0.9760125
405,2,-3.0,0.975953125
406,0,-6.0,0.97589375
407,1,-5.0,0.975834375
408,0,-3.0,0.9757750000000001
409,1,-3.0,0.975715625
410,1,-3.0,0.97565625
411,0,0.0,0.975596875
412,1,-5.0,0.9755375
413,1,-1.0,0.975478125
414,3,-10.0,0.97541875
415,2,0.0,0.975359375
416,1,-6.0,0.9753000000000001
417,1,-3.0,0.975240625
418,1,-4.0,0.97518125
419,2,-6.0,0.975121875
420,0,-4.0,0.9750625
421,0,-3.0,0.975003125
422,0,-1.0,0.97494375
423,1,-3.0,0.974884375
424,1,1.0,0.974825
425,1,0.0,0.974765625
426,0,-5.0,0.97470625
427,0,-2.0,0.974646875
428,0,-6.0,0.9745875
429,0,-6.0,0.974528125
430,1,-1.0,0.97446875
431,1,-1.0,0.974409375
432,1,-4.0,0.97435
433,0,-6.0,0.974290625
434,1,-4.0,0.97423125
435,0,-3.0,0.974171875
436,1,-2.0,0.9741125
437,2,0.0,0.974053125
438,1,-4.0,0.97399375
439,1,-2.0,0.973934375
440,0,-3.0,0.973875
441,0,-3.0,0.973815625
442,0,-2.0,0.97375625
443,0,-1.0,0.973696875
444,3,-3.0,0.9736375
445,2,-2.0,0.973578125
446,0,-5.0,0.97351875
447,1,-6.0,0.973459375
448,0,-3.0,0.9734
449,2,-1.0,0.973340625
450,0,-1.0,0.97328125
451,2,1.0,0.973221875
452,1,0.0,0.9731625
453,0,-7.0,0.973103125
454,6,-3.0,0.97304375
455,1,-3.0,0.972984375
456,0,-13.0,0.972925
457,0,-3.0,0.972865625
458,2,-2.0,0.97280625
459,1,-1.0,0.972746875
460,0,1.0,0.9726875
461,5,2.0,0.972628125
462,1,0.0,0.97256875
463,0,-3.0,0.972509375
464,0,-6.0,0.97245
465,0,-4.0,0.972390625
466,1,-3.0,0.97233125
467,0,-4.0,0.972271875
468,0,0.0,0.9722125
469,0,-3.0,0.972153125
470,1,-4.0,0.97209375
471,2,-2.0,0.972034375
472,0,-5.0,0.971975
473,0,-4.0,0.971915625
474,2,-1.0,0.97185625
475,1,-3.0,0.971796875
476,0,-2.0,0.9717375
477,2,-1.0,0.971678125
478,1,-1.0,0.97161875
479,0,-4.0,0.971559375
480,1,-1.0,0.9715
481,1,-3.0,0.9714406250000001
482,1,-6.0,0.97138125
483,2,2.0,0.971321875
484,3,0.0,0.9712625
485,0,-2.0,0.971203125
486,1,0.0,0.97114375
487,0,-3.0,0.971084375
488,0,-2.0,0.971025
489,6,-1.0,0.970965625
490,0,-3.0,0.97090625
491,1,-6.0,0.970846875
492,2,0.0,0.9707875
493,1,-2.0,0.970728125
494,2,-2.0,0.97066875
495,1,-2.0,0.970609375
496,0,-3.0,0.97055
497,1,0.0,0.970490625
498,0,-2.0,0.97043125
499,2,1.0,0.970371875
500,0,-6.0,0.9703125
501,2,-2.0,0.970253125
502,1,-6.0,0.97019375
503,0,-3.0,0.970134375
504,0,-6.0,0.970075
505,2,0.0,0.970015625
506,0,-2.0,0.96995625
