episode,coins_collected,total_reward,epsilon
0,5,-1.0,1.0
1,0,-5.0,0.999940625
2,3,0.0,0.99988125
3,0,-2.0,0.999821875
4,1,-3.0,0.9997625
5,0,-8.0,0.999703125
6,1,-2.0,0.99964375
7,1,-3.0,0.999584375
8,1,-2.0,0.999525
9,2,-1.0,0.999465625
10,0,-2.0,0.99940625
11,0,-2.0,0.999346875
12,0,-2.0,0.9992875
13,2,-7.0,0.999228125
14,0,-3.0,0.99916875
15,0,-4.0,0.999109375
16,2,-8.0,0.99905
17,1,-6.0,0.998990625
18,0,-3.0,0.99893125
19,1,0.0,0.998871875
20,0,-3.0,0.9988125
21,1,-5.0,0.998753125
22,2,0.0,0.99869375
23,3,-4.0,0.998634375
24,0,-1.0,0.998575
25,1,-2.0,0.998515625
26,2,-3.0,0.99845625
27,3,0.0,0.998396875
28,1,-7.0,0.9983375
29,0,-3.0,0.998278125
30,1,-2.0,0.99821875
31,1,-2.0,0.998159375
32,0,-3.0,0.9981
33,1,-9.0,0.998040625
34,1,-9.0,0.99798125
35,2,0.0,0.997921875
36,1,-4.0,0.9978625
37,0,-4.0,0.997803125
38,2,-2.0,0.99774375
39,0,-4.0,0.997684375
40,1,-1.0,0.997625
41,0,-4.0,0.997565625
42,2,1.0,0.99750625
43,0,-4.0,0.997446875
44,0,-1.0,0.9973875
45,0,-7.0,0.997328125
46,1,-8.0,0.99726875
47,1,-3.0,0.997209375
48,0,-2.0,0.99715
49,0,-4.0,0.997090625
50,2,-6.0,0.99703125
51,0,0.0,0.996971875
52,0,-9.0,0.9969125
53,1,-1.0,0.996853125
54,0,-4.0,0.99679375
55,0,-4.0,0.996734375
56,1,-1.0,0.996675
57,2,-3.0,0.996615625
58,0,-3.0,0.99655625
59,1,-1.0,0.996496875
60,0,0.0,0.9964375
61,0,-5.0,0.996378125
62,1,-4.0,0.99631875
63,0,-3.0,0.996259375
64,1,-4.0,0.9962
65,0,-5.0,0.996140625
66,1,-1.0,0.99608125
67,4,1.0,0.996021875
68,1,-3.0,0.9959625
69,1,-4.0,0.995903125
70,1,-3.0,0.99584375
71,0,-3.0,0.995784375
72,1,-1.0,0.995725
73,1,-1.0,0.995665625
74,1,-7.0,0.99560625
75,0,-7.0,0.995546875
76,0,-6.0,0.9954875
77,0,-3.0,0.995428125
78,0,-1.0,0.99536875
79,0,-4.0,0.995309375
80,2,-1.0,0.99525
81,1,1.0,0.995190625
82,1,-3.0,0.99513125
83,2,1.0,0.995071875
84,0,-2.0,0.9950125
85,1,-2.0,0.994953125
86,0,-3.0,0.99489375
87,0,-3.0,0.994834375
88,1,-5.0,0.994775
89,1,-1.0,0.994715625
90,1,-1.0,0.99465625
91,0,-4.0,0.994596875
92,1,-1.0,0.9945375
93,0,-4.0,0.994478125
94,0,-2.0,0.99441875
95,1,-1.0,0.994359375
96,0,-1.0,0.9943
97,1,-2.0,0.994240625
98,1,-2.0,0.99418125
99,1,-1.0,0.994121875
100,3,-7.0,0.9940625
101,2,1.0,0.994003125
102,1,-1.0,0.99394375
103,0,-3.0,0.993884375
104,1,0.0,0.993825
105,0,-3.0,0.993765625
106,2,-8.0,0.99370625
107,2,-1.0,0.993646875
108,3,0.0,0.9935875
109,1,-3.0,0.993528125
110,0,0.0,0.99346875
111,3,-1.0,0.993409375
112,0,-6.0,0.99335
113,0,-3.0,0.993290625
114,0,-8.0,0.99323125
115,0,-5.0,0.993171875
116,0,-4.0,0.9931125
117,2,0.0,0.993053125
118,0,-4.0,0.99299375
119,2,-4.0,0.992934375
120,0,-4.0,0.992875
121,2,-4.0,0.992815625
122,2,-5.0,0.99275625
123,2,-9.0,0.992696875
124,0,-5.0,0.9926375
125,0,-7.0,0.992578125
126,1,-1.0,0.99251875
127,1,-2.0,0.992459375
128,1,-5.0,0.9924
129,1,-1.0,0.992340625
130,0,-4.0,0.99228125
131,2,-7.0,0.992221875
132,0,-3.0,0.9921625
133,2,2.0,0.992103125
134,0,-5.0,0.99204375
135,2,-7.0,0.991984375
136,0,-3.0,0.991925
137,1,-2.0,0.991865625
138,0,-2.0,0.99180625
139,0,-4.0,0.991746875
140,2,-3.0,0.9916875
141,0,-3.0,0.991628125
142,0,-9.0,0.99156875
143,2,-1.0,0.991509375
144,2,-4.0,0.99145
145,0,-5.0,0.991390625
146,1,-6.0,0.99133125
147,0,-4.0,0.991271875
148,0,-1.0,0.9912125
149,0,-2.0,0.991153125
150,0,-4.0,0.99109375
151,0,-4.0,0.991034375
152,2,-3.0,0.990975
153,1,-3.0,0.990915625
154,1,-5.0,0.99085625
155,2,2.0,0.990796875
156,0,-3.0,0.9907375
157,2,-13.0,0.990678125
158,1,-8.0,0.99061875
159,1,-3.0,0.990559375
160,1,-1.0,0.9905
161,2,-4.0,0.990440625
162,3,-14.0,0.99038125
163,2,-4.0,0.990321875
164,0,-9.0,0.9902625
165,0,-4.0,0.990203125
166,1,-4.0,0.99014375
167,0,-3.0,0.990084375
168,0,-4.0,0.990025
169,2,0.0,0.989965625
170,3,1.0,0.98990625
171,0,-2.0,0.989846875
172,1,-5.0,0.9897875
173,0,-3.0,0.989728125
174,0,-3.0,0.98966875
175,0,-4.0,0.989609375
176,1,-3.0,0.98955
177,2,-1.0,0.989490625
178,1,-1.0,0.98943125
179,1,-9.0,0.989371875
180,1,-2.0,0.9893125
181,1,-2.0,0.989253125
182,0,-2.0,0.98919375
183,0,-5.0,0.989134375
184,0,-5.0,0.989075
185,1,0.0,0.989015625
186,0,-6.0,0.98895625
187,1,-4.0,0.988896875
188,0,-3.0,0.9888375
189,2,-1.0,0.988778125
190,0,-4.0,0.98871875
191,1,-3.0,0.988659375
192,1,-1.0,0.9886
193,0,-4.0,0.988540625
194,1,-3.0,0.98848125
195,0,-2.0,0.988421875
196,0,-7.0,0.9883625
197,0,-6.0,0.988303125
198,3,-3.0,0.98824375
199,0,-4.0,0.988184375
200,0,-5.0,0.988125
201,0,-7.0,0.988065625
202,0,-3.0,0.98800625
203,0,-2.0,0.987946875
204,1,-8.0,0.9878875
205,2,-4.0,0.9878281250000001
206,2,0.0,0.98776875
207,1,-2.0,0.987709375
208,1,-4.0,0.98765
209,0,-9.0,0.987590625
210,1,-2.0,0.98753125
211,1,-2.0,0.987471875
212,0,-3.0,0.9874125
213,0,-10.0,0.987353125
214,1,-8.0,0.98729375
215,0,-1.0,0.987234375
216,2,-3.0,0.987175
217,1,-3.0,0.987115625
218,0,-6.0,0.98705625
219,2,-3.0,0.986996875
220,0,-3.0,0.9869375
221,1,0.0,0.986878125
222,3,-3.0,0.98681875
223,0,-1.0,0.986759375
224,1,-1.0,0.9867
225,0,-5.0,0.986640625
226,2,-12.0,0.98658125
227,1,-2.0,0.986521875
228,0,-3.0,0.9864625
229,0,-2.0,0.986403125
230,1,-5.0,0.98634375
231,1,0.0,0.986284375
232,1,-6.0,0.986225
233,1,0.0,0.986165625
234,2,-2.0,0.98610625
235,0,-5.0,0.986046875
236,1,-3.0,0.9859875
237,2,-4.0,0.985928125
238,1,0.0,0.98586875
239,0,-6.0,0.985809375
240,0,-3.0,0.98575
241,1,-3.0,0.985690625
242,0,-6.0,0.98563125
243,0,-8.0,0.985571875
244,1,-2.0,0.9855125
245,3,-1.0,0.985453125
246,0,-7.0,0.98539375
247,2,0.0,0.985334375
248,0,-3.0,0.985275
249,1,-2.0,0.985215625
250,0,-1.0,0.98515625
251,1,-2.0,0.985096875
252,0,-1.0,0.9850375
253,3,-2.0,0.984978125
254,1,-1.0,0.98491875
255,1,-2.0,0.984859375
256,0,-5.0,0.9848
257,1,-4.0,0.984740625
258,1,-1.0,0.98468125
259,1,-3.0,0.984621875
260,1,-3.0,0.9845625
261,0,-5.0,0.984503125
262,2,1.0,0.98444375
263,1,-5.0,0.984384375
264,1,-4.0,0.984325
265,0,-3.0,0.984265625
266,1,-2.0,0.98420625
267,0,-3.0,0.984146875
268,1,-7.0,0.9840875
269,2,-2.0,0.984028125
270,2,0.0,0.98396875
271,1,-2.0,0.983909375
272,2,0.0,0.98385
273,1,-3.0,0.983790625
274,0,-6.0,0.98373125
275,6,-6.0,0.983671875
276,1,0.0,0.9836125
277,2,-1.0,0.983553125
278,1,-1.0,0.98349375
279,1,-3.0,0.983434375
280,1,-1.0,0.983375
281,1,-2.0,0.983315625
282,2,-4.0,0.98325625
283,0,-4.0,0.983196875
284,2,-2.0,0.9831375
285,0,-1.0,0.983078125
286,1,-8.0,0.98301875
287,0,-8.0,0.982959375
288,1,-2.0,0.9829
289,0,-4.0,0.982840625
290,0,-2.0,0.98278125
291,1,-1.0,0.982721875
292,2,-3.0,0.9826625
293,0,-4.0,0.982603125
294,0,-3.0,0.98254375
295,2,-8.0,0.982484375
296,2,-5.0,0.982425
297,1,-2.0,0.982365625
298,1,-6.0,0.98230625
299,0,-2.0,0.982246875
300,1,0.0,0.9821875
301,0,-3.0,0.982128125
302,0,-5.0,0.98206875
303,2,-1.0,0.982009375
304,1,-1.0,0.98195
305,3,0.0,0.981890625
306,2,-2.0,0.98183125
307,1,-3.0,0.981771875
308,6,-8.0,0.9817125
309,1,-5.0,0.981653125
310,1,-4.0,0.98159375
311,1,0.0,0.981534375
312,1,-1.0,0.981475
313,0,-9.0,0.981415625
314,1,-1.0,0.98135625
315,0,-4.0,0.981296875
316,0,-2.0,0.9812375
317,1,0.0,0.981178125
318,0,-4.0,0.98111875
319,2,-5.0,0.981059375
320,2,0.0,0.981
321,0,-2.0,0.980940625
322,0,-3.0,0.98088125
323,1,-4.0,0.980821875
324,0,-4.0,0.9807625
325,2,-2.0,0.980703125
326,1,0.0,0.98064375
327,0,-9.0,0.980584375
328,1,-1.0,0.980525
329,1,-10.0,0.980465625
330,1,-3.0,0.98040625
331,1,-6.0,0.980346875
332,1,-7.0,0.9802875
333,1,1.0,0.980228125
334,1,-4.0,0.98016875
335,1,-3.0,0.980109375
336,0,-8.0,0.98005
337,1,-4.0,0.979990625
338,1,-1.0,0.97993125
339,1,-5.0,0.979871875
340,2,1.0,0.9798125
341,2,-7.0,0.979753125
342,0,-3.0,0.97969375
343,2,-1.0,0.979634375
344,0,-3.0,0.979575
345,7,-9.0,0.979515625
346,2,-4.0,0.97945625
347,2,-3.0,0.9793968750000001
348,3,-10.0,0.9793375
349,1,-5.0,0.979278125
350,0,-3.0,0.97921875
351,0,-4.0,0.979159375
352,1,-3.0,0.9791
353,0,-4.0,0.979040625
354,0,-5.0,0.97898125
355,1,-4.0,0.978921875
356,1,-8.0,0.9788625
357,1,-5.0,0.978803125
358,0,-9.0,0.97874375
359,2,1.0,0.978684375
360,1,-1.0,0.978625
361,0,-3.0,0.978565625
362,1,-1.0,0.97850625
363,2,1.0,0.978446875
364,3,-2.0,0.9783875
365,0,-2.0,0.978328125
366,3,-5.0,0.97826875
367,0,-2.0,0.978209375
368,1,-6.0,0.97815
369,1,-2.0,0.978090625
370,0,-2.0,0.97803125
371,2,-2.0,0.977971875
372,0,-1.0,0.9779125
373,0,-3.0,0.977853125
374,1,-8.0,0.97779375
375,1,-2.0,0.977734375
376,0,-3.0,0.977675
377,0,-2.0,0.977615625
378,0,-7.0,0.97755625
379,2,-1.0,0.977496875
380,0,-3.0,0.9774375
381,1,0.0,0.977378125
382,0,-8.0,0.97731875
383,2,-1.0,0.977259375
384,1,-3.0,0.9772
385,1,-6.0,0.977140625
386,0,-5.0,0.97708125
387,1,-1.0,0.977021875
388,1,-1.0,0.9769625
389,1,-13.0,0.976903125
390,2,-6.0,0.97684375
391,2,0.0,0.976784375
392,3,-2.0,0.976725
393,1,-2.0,0.976665625
394,2,-15.0,0.97660625
395,1,-2.0,0.976546875
396,1,-3.0,0.9764875
397,0,-3.0,0.976428125
398,0,-2.0,0.97636875
399,0,-2.0,0.976309375
400,1,-5.0,0.97625
401,0,-2.0,0.976190625
402,2,0.0,0.97613125
403,0,-7.0,0.976071875
404,0,-12.0,0.9760125
405,3,3.0,0.975953125
406,1,-3.0,0.97589375
407,1,-2.0,0.975834375
408,2,0.0,0.9757750000000001
409,1,-3.0,0.975715625
410,0,-3.0,0.97565625
411,1,-1.0,0.975596875
412,4,0.0,0.9755375
413,0,-3.0,0.975478125
414,0,-4.0,0.97541875
415,2,-1.0,0.975359375
416,1,-3.0,0.9753000000000001
417,1,-1.0,0.975240625
418,1,-5.0,0.97518125
419,1,-2.0,0.975121875
420,0,-1.0,0.9750625
421,1,-3.0,0.975003125
422,0,-2.0,0.97494375
423,0,-1.0,0.974884375
424,2,-2.0,0.974825
425,0,-3.0,0.974765625
426,0,-2.0,0.97470625
427,2,-4.0,0.974646875
428,2,-3.0,0.9745875
429,2,-2.0,0.974528125
430,1,-9.0,0.97446875
431,1,-4.0,0.974409375
432,1,-2.0,0.97435
433,5,-1.0,0.974290625
434,0,-3.0,0.97423125
435,0,-4.0,0.974171875
436,1,-1.0,0.9741125
437,1,-2.0,0.974053125
438,2,-4.0,0.97399375
439,0,-2.0,0.973934375
440,0,-1.0,0.973875
441,1,-6.0,0.973815625
442,0,-7.0,0.97375625
443,1,-2.0,0.973696875
444,1,-4.0,0.9736375
445,0,-5.0,0.973578125
446,0,-5.0,0.97351875
447,1,-1.0,0.973459375
448,2,-5.0,0.9734
449,1,-3.0,0.973340625
450,3,-1.0,0.97328125
451,2,-5.0,0.973221875
452,0,-6.0,0.9731625
453,1,-6.0,0.973103125
454,0,-3.0,0.97304375
455,0,-2.0,0.972984375
456,1,-6.0,0.972925
457,3,-9.0,0.972865625
458,0,-2.0,0.97280625
459,1,-1.0,0.972746875
460,0,-5.0,0.9726875
461,2,-2.0,0.972628125
462,2,-6.0,0.97256875
463,1,-4.0,0.972509375
464,0,-3.0,0.97245
465,1,-1.0,0.972390625
466,2,-1.0,0.97233125
467,0,-3.0,0.972271875
468,2,-3.0,0.9722125
469,1,-3.0,0.972153125
470,0,-3.0,0.97209375
471,1,-5.0,0.972034375
472,1,-1.0,0.971975
473,0,0.0,0.971915625
474,2,-1.0,0.97185625
475,1,-3.0,0.971796875
476,1,-7.0,0.9717375
477,0,-3.0,0.971678125
478,0,-2.0,0.97161875
479,1,-1.0,0.971559375
480,2,-1.0,0.9715
481,0,-2.0,0.9714406250000001
482,0,-3.0,0.97138125
