episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
59,400,14,14,-48.6,0.972,0,1,32,1.02197,1.45904,1.01702,1.70622,1.48175,0.0
60,400,5,5,-60.6,0.9715,0,1,32,0.96598,1.39872,0.95295,1.55409,1.41635,0.0
61,400,6,6,-62.2,0.971,0,1,32,0.85458,1.39696,0.8528,1.46881,1.29725,0.0
62,400,14,14,-52.25,0.9706,0,1,32,0.84785,1.41557,0.84751,1.44441,1.27799,0.0
63,400,17,17,-43.9,0.9701,0,1,32,0.91084,1.46028,0.94359,1.81103,1.32394,0.0
64,400,24,24,-47.85,0.9696,0,1,32,1.09866,1.38426,1.01628,1.88251,1.51018,0.0
65,400,18,18,-50.7,0.9691,0,1,32,1.19867,1.40918,1.17307,1.87762,1.61376,0.0
66,400,17,17,-42.05,0.9687,0,1,32,1.19354,1.49047,1.16055,1.79472,1.62706,0.0
67,400,23,23,-43.6,0.9682,0,1,32,1.12441,1.60983,1.09422,1.84757,1.54156,0.0
68,400,10,10,-55.25,0.9677,0,1,32,1.10849,1.60098,1.0856,1.69598,1.53701,0.0
69,400,18,18,-42.05,0.9672,0,1,32,1.06576,1.57007,1.01721,1.74342,1.50528,0.0
70,400,17,17,-49.7,0.9667,0,1,32,1.02367,1.48718,1.0129,1.70601,1.46307,0.0
71,400,12,12,-48.5,0.9663,0,1,32,1.00973,1.407,1.00566,1.68082,1.45524,0.0
72,400,14,14,-57.85,0.9658,0,1,32,1.00908,1.56805,0.99005,1.82936,1.44432,0.0
73,400,23,23,-36.95,0.9653,0,1,32,1.10664,1.56657,1.09149,1.88381,1.52116,0.0
74,400,16,16,-53.15,0.9648,0,1,32,1.11789,1.51107,1.10432,1.8284,1.55266,0.0
75,400,20,20,-44.7,0.9644,0,1,32,1.2009,1.60021,1.1808,1.96131,1.60679,0.0
76,400,18,18,-50.1,0.9639,0,1,32,1.18642,1.70008,1.12344,1.76166,1.54804,0.0
77,400,17,17,-44.9,0.9634,0,1,32,1.1526,1.67605,1.11726,1.78181,1.56353,0.0
78,400,25,25,-40.25,0.9629,0,1,32,1.12683,1.71763,1.11317,1.80141,1.56926,0.0
79,400,25,25,-36.45,0.9625,0,1,32,1.15947,1.74243,1.16411,1.97863,1.61268,0.0
80,400,22,22,-34.25,0.962,0,1,32,1.25593,1.72283,1.22073,1.92507,1.6944,0.0
81,400,26,26,-41.2,0.9615,0,1,32,1.20788,1.67247,1.18345,1.85007,1.64743,0.0
82,400,20,20,-40.25,0.961,0,1,32,1.20788,1.71531,1.17072,1.78369,1.61796,0.0
83,400,17,17,-52.85,0.9606,0,1,32,0.99218,1.7115,1.09112,1.66881,1.57639,0.0
84,400,23,23,-32.1,0.9601,0,1,32,1.03136,1.75175,1.11207,1.93524,1.5666,0.0
85,400,20,20,-39.1,0.9596,0,1,32,1.21925,1.59444,1.27505,2.01257,1.67798,0.0
86,400,20,20,-34.8,0.9591,0,1,32,1.26354,1.7365,1.2803,1.97412,1.71016,0.0
87,400,22,22,-45.4,0.9587,0,1,32,1.28035,1.83357,1.25182,1.97868,1.71421,0.0
88,400,25,25,-28.55,0.9582,0,1,32,1.33936,1.80199,1.32832,2.02979,1.76944,0.0
89,400,28,28,-30.45,0.9577,0,1,32,1.32603,1.85702,1.30194,1.86829,1.77187,0.0
90,400,22,22,-41.25,0.9573,0,1,32,1.28484,1.85251,1.26694,1.87628,1.75677,0.0
91,400,19,19,-40.2,0.9568,0,1,32,1.20117,1.81868,1.21772,1.65485,1.67944,0.0
92,400,23,23,-45.8,0.9563,0,1,32,1.29447,1.84773,1.28711,2.06596,1.70415,0.0
93,400,14,14,-50.9,0.9558,0,1,32,1.30099,1.80637,1.28711,1.9782,1.54763,0.0
94,400,22,22,-36.3,0.9554,0,1,32,1.29329,1.80297,1.27688,2.06798,1.62666,0.0
95,400,19,19,-46.3,0.9549,0,1,32,1.28769,1.74327,1.26952,1.87707,1.66319,0.0
96,400,21,21,-43.65,0.9544,0,1,32,1.11939,1.823,1.26981,2.00886,1.71958,0.0
97,400,15,15,-52.05,0.9539,0,1,32,1.2414,1.84337,1.27544,1.98081,1.73627,0.0
98,400,21,21,-38.4,0.9535,0,1,32,1.2466,1.77633,1.27276,1.97256,1.72552,0.0
99,400,16,16,-43.7,0.953,0,1,32,1.22674,1.75389,1.24342,1.7811,1.6941,0.0
100,400,17,17,-46.55,0.9525,0,1,32,1.15319,1.665,1.14931,1.81661,1.60027,0.0
101,400,13,13,-51.35,0.952,0,1,32,1.14989,1.67159,1.14931,1.80659,1.59774,0.0
102,400,19,19,-44.65,0.9516,0,1,32,1.19508,1.75669,1.1919,1.90516,1.63816,0.0
103,400,13,13,-57.9,0.9511,0,1,32,1.14788,1.70045,1.16754,1.78339,1.45153,0.0
104,400,24,24,-41.35,0.9506,0,1,32,1.08057,1.67208,1.10422,1.98929,1.50055,0.0
105,400,16,16,-42.5,0.9501,0,1,32,1.14658,1.73934,1.12073,1.86652,1.5947,0.0
106,400,27,27,-35.65,0.9496,0,1,32,1.25017,1.79362,1.18647,2.01416,1.64756,0.0
107,400,24,24,-38.25,0.9492,0,1,32,1.26128,1.81334,1.21089,2.01369,1.67177,0.0
108,400,25,25,-39.45,0.9487,0,1,32,1.30248,1.86946,1.29782,2.08627,1.74393,0.0
109,400,19,19,-41.0,0.9482,0,1,32,1.40865,1.91894,1.35335,1.94177,1.83504,0.0
110,400,20,20,-43.25,0.9477,0,1,32,1.26682,1.79826,1.27692,1.9825,1.72695,0.0
111,400,23,23,-29.95,0.9473,0,1,32,1.27893,1.89425,1.27555,2.03548,1.71754,0.0
112,400,15,15,-58.6,0.9468,0,1,32,1.2703,1.56246,1.25259,1.91633,1.71128,0.0
113,400,33,33,-31.15,0.9463,0,1,32,1.32166,1.73701,1.29425,2.07696,1.76642,0.0
114,400,23,23,-38.95,0.9458,0,1,32,1.16341,1.88606,1.31308,1.97643,1.7915,0.0
115,400,20,20,-37.55,0.9454,0,1,32,1.1902,1.89681,1.30379,2.00998,1.7909,0.0
116,400,22,22,-35.5,0.9449,0,1,32,1.24419,1.85002,1.30765,2.01272,1.77315,0.0
117,400,22,22,-42.2,0.9444,0,1,32,1.29495,1.83564,1.3011,1.93823,1.76087,0.0
118,400,29,29,-36.75,0.9439,0,1,32,1.29028,1.85736,1.29446,2.02188,1.75032,0.0
119,400,21,21,-37.25,0.9435,0,1,32,1.36294,1.91601,1.36751,2.00816,1.79317,0.0
120,400,24,24,-31.85,0.943,0,1,32,1.30938,1.87904,1.13394,1.98033,1.75212,0.0
121,400,13,14,-51.35,0.9425,0,1,32,1.29204,1.90345,1.14546,1.96349,1.73532,0.0
122,400,17,17,-37.35,0.9421,0,1,32,1.30893,1.97276,1.26015,2.07461,1.76287,0.0
123,400,23,23,-37.15,0.9416,0,1,32,1.39834,1.88289,1.35693,2.11424,1.81783,0.0
124,400,22,23,-32.1,0.9411,0,1,32,1.40764,1.94836,1.41458,2.09302,1.85229,0.0
125,400,24,24,-33.45,0.9406,0,1,32,1.3676,1.92377,1.38546,1.99397,1.80015,0.0
126,400,27,27,-30.0,0.9402,0,1,32,1.33669,1.84205,1.30656,1.97016,1.74983,0.0
127,400,17,17,-38.75,0.9397,0,1,32,1.32198,1.91728,1.30371,2.03297,1.7584,0.0
128,400,33,33,-26.1,0.9392,0,1,32,1.37508,1.91545,1.35816,2.22066,1.80324,0.0
129,400,11,11,-62.85,0.9387,0,1,32,1.40726,1.92033,1.39904,2.10156,1.84568,0.0
130,400,20,20,-47.2,0.9383,0,1,32,1.33456,1.86526,1.36381,1.99178,1.78534,0.0
131,400,33,33,-36.05,0.9378,0,1,32,1.31789,1.92535,1.33269,2.10427,1.75014,0.0
