episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited
1,400,31,31,-37.46,0.9995,0,1,18
2,400,11,11,-60.51,0.999,0,1,22
3,400,13,13,-55.36,0.9986,0,1,26
4,400,12,12,-50.56,0.9981,0,1,28
5,400,22,22,-41.36,0.9976,0,1,29
6,400,9,9,-56.51,0.9971,0,1,29
7,400,9,9,-63.81,0.9967,0,1,29
8,400,11,11,-65.66,0.9962,0,1,29
9,400,24,24,-44.26,0.9957,0,1,30
10,400,7,7,-60.16,0.9952,0,1,30
11,400,13,13,-56.36,0.9948,0,1,32
12,400,20,20,-48.26,0.9943,0,1,32
13,400,22,22,-38.31,0.9938,0,1,32
14,400,19,19,-47.26,0.9933,0,1,32
15,400,13,13,-50.86,0.9929,0,1,32
16,400,17,19,-44.86,0.9924,0,1,32
17,400,15,15,-49.61,0.9919,0,1,32
18,400,17,17,-51.96,0.9915,0,1,32
19,400,6,6,-58.21,0.991,0,1,32
20,400,13,13,-61.51,0.9905,0,1,32
21,400,18,18,-41.86,0.99,0,1,32
22,400,18,18,-40.81,0.9896,0,1,32
23,400,9,9,-60.26,0.9891,0,1,32
24,400,16,16,-47.11,0.9886,0,1,32
25,400,16,16,-53.71,0.9881,0,1,32
26,400,13,15,-44.56,0.9877,0,1,32
27,400,18,18,-51.56,0.9872,0,1,32
28,400,13,13,-47.96,0.9867,0,1,32
29,400,22,22,-45.46,0.9862,0,1,32
30,400,11,11,-51.46,0.9858,0,1,32
31,400,14,14,-50.31,0.9853,0,1,32
32,400,7,7,-68.11,0.9848,0,1,32
33,400,20,20,-48.46,0.9843,0,1,32
34,400,16,16,-53.81,0.9839,0,1,32
35,400,21,21,-43.21,0.9834,0,1,32
36,400,21,21,-36.11,0.9829,0,1,32
37,400,9,9,-67.01,0.9824,0,1,32
38,400,18,18,-45.06,0.9819,0,1,32
39,400,15,15,-62.01,0.9815,0,1,32
40,400,13,13,-59.81,0.981,0,1,32
41,400,20,20,-52.81,0.9805,0,1,32
42,400,21,21,-51.36,0.98,0,1,32
43,400,13,13,-59.56,0.9796,0,1,32
44,400,11,11,-59.06,0.9791,0,1,32
45,400,14,14,-49.61,0.9786,0,1,32
46,400,26,26,-34.31,0.9781,0,1,32
47,400,19,19,-49.31,0.9777,0,1,32
48,400,15,15,-45.16,0.9772,0,1,32
49,400,16,16,-45.41,0.9767,0,1,32
50,400,21,21,-52.41,0.9762,0,1,32
51,400,17,17,-46.96,0.9758,0,1,32
52,400,25,25,-36.56,0.9753,0,1,32
53,400,25,25,-41.21,0.9748,0,1,32
54,400,18,18,-45.41,0.9744,0,1,32
55,400,11,11,-47.21,0.9739,0,1,32
56,400,19,19,-53.66,0.9734,0,1,32
57,400,16,16,-48.56,0.9729,0,1,32
58,400,26,26,-34.16,0.9725,0,1,32
59,400,18,18,-38.51,0.972,0,1,32
60,400,23,23,-37.31,0.9715,0,1,32
61,400,17,17,-34.46,0.971,0,1,32
62,400,14,14,-62.26,0.9706,0,1,32
63,400,21,21,-30.46,0.9701,0,1,32
64,400,19,19,-43.16,0.9696,0,1,32
65,400,14,14,-49.06,0.9691,0,1,32
66,400,19,19,-39.66,0.9687,0,1,32
67,400,26,26,-37.11,0.9682,0,1,32
68,400,22,22,-37.91,0.9677,0,1,32
69,400,20,20,-39.96,0.9672,0,1,32
70,400,17,17,-44.61,0.9667,0,1,32
71,400,19,19,-47.86,0.9663,0,1,32
72,400,29,29,-32.86,0.9658,0,1,32
73,400,22,22,-37.56,0.9653,0,1,32
74,400,15,15,-47.51,0.9648,0,1,32
75,400,19,19,-51.86,0.9644,0,1,32
76,400,15,15,-45.61,0.9639,0,1,32
77,400,22,22,-34.66,0.9634,0,1,32
78,400,20,20,-32.46,0.9629,0,1,32
79,400,25,25,-33.51,0.9625,0,1,32
80,400,17,17,-35.86,0.962,0,1,32
81,400,20,20,-41.71,0.9615,0,1,32
82,400,23,23,-34.01,0.961,0,1,32
83,400,11,11,-64.76,0.9606,0,1,32
84,400,19,19,-44.06,0.9601,0,1,32
85,400,21,21,-59.71,0.9596,0,1,32
86,400,9,9,-58.16,0.9591,0,1,32
87,400,13,13,-48.86,0.9587,0,1,32
88,400,19,19,-45.96,0.9582,0,1,32
89,400,10,10,-61.61,0.9577,0,1,32
90,400,15,15,-51.21,0.9573,0,1,32
91,400,28,28,-31.91,0.9568,0,1,32
92,400,16,16,-50.46,0.9563,0,1,32
93,400,21,21,-42.11,0.9558,0,1,32
94,400,15,15,-44.91,0.9554,0,1,32
95,400,16,16,-39.16,0.9549,0,1,32
96,400,23,23,-40.41,0.9544,0,1,32
97,400,14,14,-40.66,0.9539,0,1,32
98,400,16,16,-44.91,0.9535,0,1,32
99,400,9,9,-51.71,0.953,0,1,32
100,400,27,27,-34.96,0.9525,0,1,32
101,400,27,27,-37.91,0.952,0,1,32
102,400,27,27,-36.66,0.9516,0,1,32
103,400,21,21,-43.26,0.9511,0,1,32
104,400,26,26,-29.51,0.9506,0,1,32
105,400,16,16,-44.11,0.9501,0,1,32
106,400,13,13,-53.96,0.9496,0,1,32
107,400,25,25,-38.61,0.9492,0,1,32
108,400,26,26,-33.16,0.9487,0,1,32
109,400,15,15,-51.66,0.9482,0,1,32
110,400,21,21,-43.61,0.9477,0,1,32
111,400,24,24,-38.71,0.9473,0,1,32
112,400,25,27,-30.41,0.9468,0,1,32
113,400,15,15,-42.51,0.9463,0,1,32
114,400,20,20,-43.01,0.9458,0,1,32
115,400,23,23,-34.46,0.9454,0,1,32
116,400,22,22,-33.91,0.9449,0,1,32
117,400,24,24,-46.56,0.9444,0,1,32
118,400,22,22,-43.51,0.9439,0,1,32
119,400,28,28,-33.81,0.9435,0,1,32
120,400,22,22,-42.71,0.943,0,1,32
121,400,23,23,-38.36,0.9425,0,1,32
122,400,18,18,-51.21,0.9421,0,1,32
123,400,25,25,-37.36,0.9416,0,1,32
124,400,24,24,-44.66,0.9411,0,1,32
125,400,26,26,-37.86,0.9406,0,1,32
126,400,22,22,-37.51,0.9402,0,1,32
127,400,25,25,-39.81,0.9397,0,1,32
128,400,23,23,-47.01,0.9392,0,1,32
129,400,17,17,-42.31,0.9387,0,1,32
130,400,11,11,-56.71,0.9383,0,1,32
131,400,20,20,-33.96,0.9378,0,1,32
132,400,20,20,-35.36,0.9373,0,1,32
133,400,19,19,-56.21,0.9368,0,1,32
134,400,18,18,-34.81,0.9364,0,1,32
135,400,33,33,-28.86,0.9359,0,1,32
136,400,28,28,-29.76,0.9354,0,1,32
137,400,21,23,-39.26,0.9349,0,1,32
138,400,19,19,-44.26,0.9345,0,1,32
139,400,24,24,-37.46,0.934,0,1,32
140,400,23,23,-43.86,0.9335,0,1,32
141,400,26,26,-30.71,0.933,0,1,32
142,400,17,17,-38.91,0.9325,0,1,32
143,400,28,28,-30.76,0.9321,0,1,32
144,400,16,16,-47.46,0.9316,0,1,32
145,400,19,19,-45.36,0.9311,0,1,32
146,400,28,28,-34.91,0.9306,0,1,32
147,400,21,21,-43.81,0.9302,0,1,32
148,400,26,26,-37.61,0.9297,0,1,32
149,400,30,30,-29.76,0.9292,0,1,32
150,400,33,33,-27.06,0.9287,0,1,32
151,400,31,31,-26.06,0.9283,0,1,32
152,400,25,25,-31.51,0.9278,0,1,32
153,400,24,24,-37.01,0.9273,0,1,32
154,400,18,18,-41.81,0.9268,0,1,32
155,400,14,14,-41.06,0.9264,0,1,32
156,400,25,27,-28.96,0.9259,0,1,32
157,400,23,23,-35.86,0.9254,0,1,32
158,400,27,27,-37.36,0.925,0,1,32
159,400,15,17,-46.56,0.9245,0,1,32
160,400,25,27,-30.21,0.924,0,1,32
161,400,31,31,-19.66,0.9235,0,1,32
162,400,20,20,-36.91,0.9231,0,1,32
163,400,7,7,-56.06,0.9226,0,1,32
164,400,21,21,-42.81,0.9221,0,1,32
165,400,18,18,-39.81,0.9216,0,1,32
166,400,24,24,-29.81,0.9212,0,1,32
