episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
1,400,18,18,-53.9,0.9995,0,1,15,-0.14944,0.02445,-0.23295,0.1065,-0.00184,0.0
2,400,15,15,-49.25,0.999,0,1,16,-0.31091,0.06636,-0.34428,0.25194,0.02596,0.0
3,400,13,13,-55.05,0.9986,0,1,19,-0.31091,0.06636,-0.34428,0.25194,0.02596,0.0
4,400,14,14,-48.95,0.9981,0,1,22,-0.30328,0.23182,-0.32037,0.23097,0.09392,0.0
5,400,26,26,-36.0,0.9976,0,1,25,-0.20841,0.37339,-0.22233,0.61393,0.25022,0.0
6,400,16,16,-58.1,0.9971,0,1,29,-0.18951,0.35154,-0.12471,0.51754,0.30132,0.0
7,400,9,9,-64.65,0.9967,0,1,30,-0.08721,0.269,-0.10722,0.43336,0.34978,0.0
8,400,19,20,-49.75,0.9962,0,1,30,-0.07417,0.36782,-0.09117,0.78006,0.42007,0.0
9,400,20,20,-39.25,0.9957,0,1,30,0.02899,0.42039,0.01868,0.66466,0.52356,0.0
10,400,9,9,-63.65,0.9952,0,1,30,0.05988,0.4346,0.04259,0.70721,0.52859,0.0
11,400,15,15,-52.35,0.9948,0,1,30,0.1954,0.76353,0.21867,0.83115,0.66855,0.0
12,400,10,10,-48.35,0.9943,0,1,30,0.21209,0.78415,0.21867,0.84061,0.67502,0.0
13,400,24,24,-47.75,0.9938,0,1,31,0.21572,0.66206,0.2276,0.88655,0.67941,0.0
14,400,20,20,-43.8,0.9933,0,1,31,0.24658,0.67353,0.24649,0.87507,0.69415,0.0
15,400,22,22,-32.3,0.9929,0,1,31,0.38063,0.9076,0.3746,0.98289,0.83092,0.0
16,400,20,20,-44.1,0.9924,0,1,31,0.39424,0.92756,0.41457,1.17564,0.85079,0.0
17,400,17,17,-53.65,0.9919,0,1,31,0.3223,0.87414,0.3566,0.77756,0.78083,0.0
18,400,17,17,-42.55,0.9915,0,1,31,0.34785,0.97772,0.32288,1.08159,0.68747,0.0
19,400,19,19,-50.1,0.991,0,1,31,0.35321,0.92553,0.33907,0.96902,0.79773,0.0
20,400,17,17,-50.85,0.9905,0,1,31,0.32954,0.9146,0.32795,0.97386,0.7834,0.0
21,400,17,17,-39.85,0.99,0,1,31,0.37413,0.98256,0.37796,1.20978,0.84814,0.0
22,400,12,12,-56.75,0.9896,0,1,31,0.50839,0.90476,0.54466,1.25022,1.0034,0.0
23,400,14,14,-51.2,0.9891,0,1,31,0.63501,0.78965,0.63712,1.17933,1.10612,0.0
24,400,19,19,-32.9,0.9886,0,1,31,0.59552,0.89216,0.57755,1.29259,1.0184,0.0
25,400,15,15,-56.05,0.9881,0,1,31,0.59463,0.99264,0.59423,1.15508,1.03277,0.0
26,400,12,12,-61.15,0.9877,0,1,31,0.577,0.90451,0.57761,1.21848,1.02745,0.0
27,400,15,15,-57.4,0.9872,0,1,31,0.5769,0.8884,0.57442,1.17601,1.02711,0.0
28,400,28,28,-40.85,0.9867,0,1,31,0.57846,0.97646,0.57064,1.24187,1.03283,0.0
29,400,10,10,-53.9,0.9862,0,1,31,0.57008,1.14028,0.57305,1.22267,1.0286,0.0
30,400,19,19,-50.1,0.9858,0,1,31,0.62478,1.19305,0.60071,1.17927,1.07198,0.0
31,400,15,15,-53.9,0.9853,0,1,31,0.61516,1.0892,0.57856,1.23415,1.06616,0.0
32,400,19,19,-42.3,0.9848,0,1,31,0.6135,1.16463,0.58647,1.25566,1.06243,0.0
33,400,24,24,-31.3,0.9843,0,1,31,0.63496,1.21844,0.60175,1.32075,1.07992,0.0
34,400,18,18,-50.05,0.9839,0,1,31,0.77226,1.147,0.71985,1.5924,1.14143,0.0
35,400,18,18,-50.55,0.9834,0,1,31,0.96219,1.2546,0.96882,1.60229,1.42085,0.0
36,400,19,19,-44.3,0.9829,0,1,31,0.91683,1.42627,0.90866,1.59093,1.36036,0.0
37,400,15,15,-50.8,0.9824,0,1,31,0.85623,1.48686,0.85149,1.49191,1.16995,0.0
38,400,16,16,-48.25,0.9819,0,1,31,0.87722,1.54475,0.85081,1.72452,1.26457,0.0
39,400,21,21,-33.8,0.9815,0,1,31,0.96667,1.48424,0.94268,1.66727,1.39505,0.0
40,400,22,22,-34.45,0.981,0,1,31,0.99049,1.56545,0.97314,1.82946,1.44901,0.0
41,400,17,17,-48.5,0.9805,0,1,31,1.08283,1.67585,1.04918,1.81716,1.53351,0.0
42,400,17,17,-50.1,0.98,0,1,31,1.18299,1.56534,1.13226,1.91406,1.61522,0.0
43,400,18,19,-48.65,0.9796,0,1,31,1.14452,1.59848,1.13291,1.79029,1.60527,0.0
44,400,20,20,-42.3,0.9791,0,1,32,0.91613,1.5536,1.07918,1.73567,1.5322,0.0
45,400,16,16,-51.65,0.9786,0,1,32,0.99191,1.60675,1.02276,1.75237,1.4945,0.0
46,400,16,16,-52.45,0.9781,0,1,32,0.99415,1.5211,1.02251,1.6728,1.47052,0.0
47,400,19,19,-38.7,0.9777,0,1,32,0.95631,1.56137,0.93124,1.67023,1.36708,0.0
48,400,15,15,-51.7,0.9772,0,1,32,0.94952,1.5233,0.94247,1.59335,1.3867,0.0
49,400,24,24,-31.25,0.9767,0,1,32,0.94898,1.50019,0.96918,1.59853,1.40306,0.0
50,400,24,24,-40.25,0.9762,0,1,32,1.00922,1.49994,0.99475,1.82864,1.44619,0.0
51,400,15,15,-46.1,0.9758,0,1,32,1.06912,1.51667,1.03913,1.68269,1.49951,0.0
52,400,24,24,-43.3,0.9753,0,1,32,1.0586,1.42346,1.03178,1.68522,1.50004,0.0
53,400,10,10,-54.4,0.9748,0,1,32,1.05341,1.43963,1.03758,1.71361,1.49661,0.0
54,400,12,12,-49.55,0.9744,0,1,32,1.04937,1.45643,1.03512,1.66728,1.49324,0.0
55,400,20,20,-35.25,0.9739,0,1,32,1.00833,1.4948,1.01378,1.55627,1.45958,0.0
56,400,19,19,-51.25,0.9734,0,1,32,0.9617,1.48753,0.98416,1.70457,1.44769,0.0
57,400,9,9,-59.05,0.9729,0,1,32,0.94084,1.44339,0.94659,1.55715,1.39591,0.0
58,400,19,19,-47.5,0.9725,0,1,32,1.07468,1.49361,1.0833,1.75423,1.4964,0.0
59,400,25,26,-38.4,0.972,0,1,32,1.18147,1.49117,1.15812,1.92834,1.51378,0.0
60,400,14,14,-51.1,0.9715,0,1,32,1.11735,1.47787,1.1084,1.63875,1.51519,0.0
61,400,21,21,-49.5,0.971,0,1,32,1.07527,1.51197,0.89361,1.61883,1.46714,0.0
62,400,24,24,-39.65,0.9706,0,1,32,1.03516,1.52676,0.9066,1.61419,1.43871,0.0
63,400,13,13,-50.5,0.9701,0,1,32,1.06163,1.52596,1.02316,1.75946,1.50498,0.0
64,400,32,32,-28.45,0.9696,0,1,32,1.09764,1.49294,1.11277,1.71612,1.55264,0.0
65,400,13,13,-48.2,0.9691,0,1,32,1.04519,1.50823,1.05049,1.70659,1.33902,0.0
66,400,23,23,-42.0,0.9687,0,1,32,1.07214,1.57851,1.09419,1.88655,1.37869,0.0
67,400,24,24,-41.55,0.9682,0,1,32,1.11764,1.58597,1.11791,2.00347,1.54147,0.0
68,400,21,21,-45.75,0.9677,0,1,32,1.20953,1.58841,1.14315,1.88464,1.56163,0.0
69,400,21,21,-40.85,0.9672,0,1,32,1.19725,1.61236,1.15885,1.90682,1.62512,0.0
70,400,7,7,-62.7,0.9667,0,1,32,1.19966,1.61236,1.16358,1.87609,1.63579,0.0
71,400,23,23,-36.35,0.9663,0,1,32,1.18574,1.68471,1.18662,1.90274,1.64811,0.0
72,400,19,19,-41.3,0.9658,0,1,32,1.18647,1.7046,1.20258,1.90892,1.65269,0.0
73,400,19,19,-51.05,0.9653,0,1,32,1.18647,1.68616,1.20258,1.86678,1.65269,0.0
74,400,24,24,-29.45,0.9648,0,1,32,1.1792,1.71512,1.19828,1.91521,1.65237,0.0
75,400,13,13,-53.7,0.9644,0,1,32,1.13462,1.71047,1.14437,1.75657,1.59933,0.0
76,400,20,20,-44.0,0.9639,0,1,32,1.17563,1.81724,1.17328,1.97854,1.62435,0.0
77,400,18,18,-56.1,0.9634,0,1,32,1.1851,1.71355,1.17328,1.8573,1.638,0.0
78,400,20,20,-44.25,0.9629,0,1,32,1.1988,1.70085,1.18161,1.93198,1.64443,0.0
79,400,26,26,-43.9,0.9625,0,1,32,1.19736,1.67705,1.07853,1.77738,1.68021,0.0
80,400,21,21,-52.25,0.962,0,1,32,1.11508,1.7352,0.94133,1.74705,1.62677,0.0
81,400,18,18,-53.9,0.9615,0,1,32,1.09033,1.72406,1.07594,1.96182,1.56106,0.0
82,400,21,21,-42.65,0.961,0,1,32,1.11555,1.73022,1.11368,1.81684,1.58156,0.0
83,400,18,18,-46.9,0.9606,0,1,32,1.11815,1.74413,1.12636,1.85333,1.58311,0.0
