episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
1,400,26,26,-31.05,0.9995,0,1,18,-0.28143,0.04159,-0.17503,0.12966,0.02776,0.0
2,400,17,17,-46.95,0.999,0,1,24,-0.30487,0.06336,-0.26477,0.182,0.04428,0.0
3,400,20,20,-47.6,0.9986,0,1,25,-0.33609,0.15298,-0.32476,0.17472,0.07869,0.0
4,400,21,21,-30.85,0.9981,0,1,27,-0.31059,0.27457,-0.28471,0.24776,0.13885,0.0
5,400,12,12,-52.4,0.9976,0,1,27,-0.27469,0.45601,-0.24389,0.46433,0.16088,0.0
6,400,24,24,-42.6,0.9971,0,1,28,-0.16734,0.45885,-0.12832,0.47982,0.34324,0.0
7,400,10,10,-52.3,0.9967,0,1,28,-0.10824,0.39482,-0.1552,0.41296,0.34553,0.0
8,400,17,17,-47.75,0.9962,0,1,29,-0.05522,0.46413,-0.11133,0.54306,0.42146,0.0
9,400,25,25,-47.7,0.9957,0,1,29,0.04251,0.55078,-0.00662,0.85024,0.47773,0.0
10,400,22,22,-46.85,0.9952,0,1,30,0.24371,0.66862,0.23213,0.91475,0.61426,0.0
11,400,10,10,-58.7,0.9948,0,1,30,0.24371,0.66862,0.23213,0.91475,0.61426,0.0
12,400,20,20,-42.05,0.9943,0,1,30,0.28699,0.67875,0.25558,0.87964,0.65984,0.0
13,400,12,12,-54.0,0.9938,0,1,31,0.29167,0.74899,0.27401,0.9423,0.6954,0.0
14,400,16,16,-38.95,0.9933,0,1,31,0.30817,0.78724,0.30605,0.97227,0.72315,0.0
15,400,16,16,-55.8,0.9929,0,1,31,0.31494,0.78724,0.32165,0.99176,0.73306,0.0
16,400,22,22,-44.2,0.9924,0,1,31,0.39456,0.89745,0.31427,1.02236,0.82432,0.0
17,400,15,15,-51.85,0.9919,0,1,31,0.4764,0.98469,0.44357,0.99782,0.94468,0.0
18,400,20,20,-41.55,0.9915,0,1,31,0.43029,0.77266,0.39485,0.91622,0.86457,0.0
19,400,20,20,-51.0,0.991,0,1,32,0.50591,0.9328,0.49176,1.3046,0.84621,0.0
20,400,22,22,-48.65,0.9905,0,1,32,0.64632,1.08823,0.54021,1.36947,1.05935,0.0
21,400,22,22,-47.55,0.99,0,1,32,0.6399,1.10346,0.58149,1.33871,1.07115,0.0
22,400,23,23,-35.65,0.9896,0,1,32,0.69452,1.23858,0.71528,1.41312,1.13334,0.0
23,400,23,23,-44.2,0.9891,0,1,32,0.60289,1.22429,0.72355,1.30922,1.16408,0.0
24,400,13,13,-54.4,0.9886,0,1,32,0.62637,1.04446,0.65588,1.16582,1.09704,0.0
25,400,9,9,-51.8,0.9881,0,1,32,0.60753,1.04446,0.6345,1.18361,1.07117,0.0
26,400,19,19,-49.05,0.9877,0,1,32,0.55668,1.06227,0.57033,1.26323,0.98413,0.0
27,400,13,13,-49.65,0.9872,0,1,32,0.61713,1.23647,0.63718,1.39156,1.06428,0.0
28,400,12,12,-58.45,0.9867,0,1,32,0.66219,1.09221,0.69729,1.42448,1.12057,0.0
29,400,8,8,-59.7,0.9862,0,1,32,0.64118,0.92145,0.64919,1.18214,1.08557,0.0
30,400,22,22,-43.05,0.9858,0,1,32,0.6579,1.06411,0.64824,1.34625,1.09198,0.0
31,400,20,20,-47.85,0.9853,0,1,32,0.67815,1.10509,0.67438,1.35242,1.10984,0.0
32,400,18,18,-44.35,0.9848,0,1,32,0.70456,1.1674,0.70891,1.35816,1.15164,0.0
33,400,17,17,-52.65,0.9843,0,1,32,0.72404,1.22563,0.73236,1.57156,1.19679,0.0
34,400,15,15,-44.9,0.9839,0,1,32,0.8171,1.22862,0.84193,1.46784,1.29657,0.0
35,400,17,17,-48.55,0.9834,0,1,32,0.8121,1.35918,0.8292,1.47712,1.28479,0.0
36,400,17,17,-47.95,0.9829,0,1,32,0.8121,1.35918,0.8292,1.47712,1.28479,0.0
37,400,23,23,-45.75,0.9824,0,1,32,0.85555,1.28543,0.85405,1.56581,1.31947,0.0
38,400,24,24,-44.9,0.9819,0,1,32,0.85717,1.244,0.85932,1.56938,1.31767,0.0
39,400,12,12,-58.15,0.9815,0,1,32,0.87355,1.27798,0.86747,1.48012,1.31945,0.0
40,400,21,21,-31.7,0.981,0,1,32,0.87218,1.34031,0.87064,1.53048,1.31783,0.0
41,400,19,19,-36.7,0.9805,0,1,32,0.87829,1.35128,0.86962,1.6173,1.33607,0.0
42,400,9,9,-55.5,0.98,0,1,32,0.91611,1.44122,0.91132,1.57589,1.37143,0.0
43,400,9,10,-56.05,0.9796,0,1,32,0.91117,1.44973,0.9084,1.54019,1.36326,0.0
44,400,19,19,-43.45,0.9791,0,1,32,0.89955,1.45541,0.90332,1.56353,1.36177,0.0
45,400,17,17,-49.0,0.9786,0,1,32,0.91281,1.46156,0.90288,1.55465,1.36071,0.0
46,400,9,9,-56.1,0.9781,0,1,32,0.91281,1.46156,0.90288,1.55465,1.36071,0.0
47,400,9,9,-56.15,0.9777,0,1,32,0.88728,1.35738,0.84356,1.47009,1.30219,0.0
48,400,13,13,-55.15,0.9772,0,1,32,0.88728,1.35738,0.84356,1.47009,1.30219,0.0
49,400,14,14,-48.85,0.9767,0,1,32,0.86985,1.36113,0.85838,1.50838,1.3077,0.0
50,400,11,11,-52.65,0.9762,0,1,32,0.85118,1.31399,0.84807,1.45453,1.2959,0.0
51,400,29,29,-30.3,0.9758,0,1,32,0.81205,1.28103,0.8231,1.45925,1.27263,0.0
52,400,18,18,-45.05,0.9753,0,1,32,0.82949,1.32388,0.83519,1.53705,1.28483,0.0
53,400,13,13,-58.85,0.9748,0,1,32,0.88054,1.31077,0.862,1.45826,1.31537,0.0
54,400,19,19,-39.8,0.9744,0,1,32,0.8432,1.3788,0.84099,1.45343,1.27488,0.0
55,400,21,21,-43.25,0.9739,0,1,32,0.85554,1.39839,0.8677,1.59556,1.3013,0.0
56,400,15,15,-51.65,0.9734,0,1,32,0.86602,1.41137,0.87576,1.4724,1.30951,0.0
57,400,18,18,-44.45,0.9729,0,1,32,0.8559,1.38404,0.85385,1.51685,1.30087,0.0
58,400,13,13,-42.7,0.9725,0,1,32,0.85629,1.4132,0.86376,1.56208,1.31808,0.0
59,400,18,18,-45.6,0.972,0,1,32,0.93251,1.40426,0.93123,1.6514,1.3875,0.0
60,400,5,5,-61.6,0.9715,0,1,32,0.95018,1.37727,0.9444,1.57011,1.399,0.0
61,400,6,6,-62.2,0.971,0,1,32,0.87991,1.37441,0.87877,1.47554,1.3226,0.0
62,400,14,14,-52.25,0.9706,0,1,32,0.87448,1.38308,0.87386,1.44475,1.30378,0.0
63,400,17,17,-43.9,0.9701,0,1,32,0.88938,1.41267,0.89391,1.68252,1.30764,0.0
64,400,24,24,-47.85,0.9696,0,1,32,0.99605,1.35333,0.95194,1.77757,1.41189,0.0
65,400,18,18,-50.7,0.9691,0,1,32,1.0981,1.37606,1.06766,1.81964,1.50681,0.0
66,400,17,17,-42.05,0.9687,0,1,32,1.10765,1.44323,1.08727,1.78008,1.53919,0.0
67,400,23,23,-43.6,0.9682,0,1,32,1.08508,1.52145,1.07066,1.78199,1.52019,0.0
68,400,10,10,-55.25,0.9677,0,1,32,1.07598,1.53255,1.06399,1.68071,1.51652,0.0
69,400,18,18,-42.05,0.9672,0,1,32,1.05323,1.5321,1.02514,1.70533,1.50043,0.0
70,400,17,17,-49.7,0.9667,0,1,32,1.02082,1.46553,1.01238,1.67951,1.46208,0.0
71,400,12,12,-48.5,0.9663,0,1,32,0.99993,1.51131,0.99395,1.65997,1.4459,0.0
72,400,14,14,-57.85,0.9658,0,1,32,0.99088,1.55436,0.98266,1.7439,1.43715,0.0
73,400,20,20,-38.95,0.9653,0,1,32,1.02087,1.54309,1.01838,1.73786,1.46072,0.0
74,400,16,16,-53.15,0.9648,0,1,32,1.03746,1.49151,1.03858,1.75222,1.48476,0.0
75,400,20,20,-44.7,0.9644,0,1,32,1.08248,1.53165,1.07271,1.84535,1.51487,0.0
76,400,20,20,-48.6,0.9639,0,1,32,1.08017,1.55622,1.07087,1.72157,1.5199,0.0
77,400,21,21,-37.9,0.9634,0,1,32,1.11391,1.63466,1.10357,1.7912,1.54603,0.0
78,400,25,25,-41.25,0.9629,0,1,32,1.07998,1.60949,1.06535,1.711,1.5243,0.0
79,400,25,25,-36.45,0.9625,0,1,32,1.07831,1.63965,1.06931,1.81389,1.52819,0.0
80,400,22,22,-34.25,0.962,0,1,32,1.13356,1.64687,1.10132,1.84216,1.57518,0.0
81,400,26,26,-41.2,0.9615,0,1,32,1.12663,1.6313,1.10721,1.78388,1.57126,0.0
82,400,20,20,-40.25,0.961,0,1,32,1.12663,1.65816,1.10487,1.75207,1.56259,0.0
83,400,17,17,-52.85,0.9606,0,1,32,1.01566,1.67261,1.07467,1.69268,1.54375,0.0
84,400,23,23,-32.1,0.9601,0,1,32,1.0258,1.69676,1.07421,1.82255,1.52589,0.0
85,400,20,20,-39.1,0.9596,0,1,32,1.1003,1.61087,1.14434,1.89238,1.56903,0.0
86,400,20,20,-34.8,0.9591,0,1,32,1.14294,1.67496,1.16136,1.8876,1.59397,0.0
87,400,22,22,-45.4,0.9587,0,1,32,1.17279,1.72627,1.16395,1.88769,1.612,0.0
88,400,25,25,-28.55,0.9582,0,1,32,1.20669,1.7247,1.19721,1.97158,1.64412,0.0
89,400,28,28,-30.45,0.9577,0,1,32,1.22444,1.75495,1.22056,1.88189,1.66943,0.0
90,400,22,22,-41.25,0.9573,0,1,32,1.21741,1.77151,1.21463,1.87009,1.66725,0.0
91,400,18,18,-49.2,0.9568,0,1,32,1.17141,1.70873,1.18133,1.8593,1.61962,0.0
92,400,23,23,-44.8,0.9563,0,1,32,1.24914,1.75525,1.23176,2.00503,1.66406,0.0
93,400,14,14,-50.9,0.9558,0,1,32,1.25403,1.74064,1.23176,1.96415,1.58908,0.0
94,400,22,22,-36.3,0.9554,0,1,32,1.25292,1.74491,1.23641,2.00668,1.62122,0.0
95,400,19,19,-46.3,0.9549,0,1,32,1.25779,1.71467,1.24334,1.90499,1.63727,0.0
96,400,21,21,-43.65,0.9544,0,1,32,1.15545,1.75886,1.22835,1.95047,1.66473,0.0
97,400,15,15,-52.05,0.9539,0,1,32,1.19736,1.78178,1.23418,1.94317,1.68177,0.0
98,400,21,21,-38.4,0.9535,0,1,32,1.20114,1.75085,1.23443,1.93188,1.68185,0.0
99,400,15,15,-43.7,0.953,0,1,32,1.20222,1.71545,1.2251,1.92918,1.67419,0.0
100,400,17,17,-46.55,0.9525,0,1,32,1.19865,1.66977,1.21554,1.89218,1.66479,0.0
101,400,16,16,-48.35,0.952,0,1,32,1.19716,1.67353,1.21417,1.92966,1.66344,0.0
102,400,19,19,-44.15,0.9516,0,1,32,1.2166,1.69461,1.22532,1.90727,1.674,0.0
103,400,25,25,-42.9,0.9511,0,1,32,1.21733,1.65714,1.21904,2.02666,1.67281,0.0
104,400,22,22,-41.35,0.9506,0,1,32,1.2389,1.688,1.24485,1.93288,1.68047,0.0
105,400,16,16,-42.5,0.9501,0,1,32,1.22236,1.70031,1.21515,1.8724,1.67077,0.0
106,400,27,27,-35.65,0.9496,0,1,32,1.22979,1.77089,1.21613,1.9797,1.66971,0.0
107,400,24,24,-38.25,0.9492,0,1,32,1.2351,1.77718,1.22193,1.97921,1.67556,0.0
