episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited
1,400,14,14,-48.36,0.9995,0,1,12
2,400,11,11,-58.36,0.999,0,1,17
3,400,18,18,-51.91,0.9986,0,1,19
4,400,7,7,-69.71,0.9981,0,1,23
5,400,20,20,-43.21,0.9976,0,1,26
6,400,7,7,-54.86,0.9971,0,1,26
7,400,19,19,-44.61,0.9967,0,1,27
8,400,12,12,-58.21,0.9962,0,1,28
9,400,17,17,-48.56,0.9957,0,1,28
10,400,16,16,-49.46,0.9952,0,1,30
11,400,12,12,-58.11,0.9948,0,1,30
12,400,25,25,-39.96,0.9943,0,1,30
13,400,10,10,-62.71,0.9938,0,1,30
14,400,17,17,-48.66,0.9933,0,1,30
15,400,20,20,-41.26,0.9929,0,1,30
16,400,7,7,-59.51,0.9924,0,1,30
17,400,6,6,-59.11,0.9919,0,1,32
18,400,14,14,-54.91,0.9915,0,1,32
19,400,25,25,-38.26,0.991,0,1,32
20,400,29,29,-39.31,0.9905,0,1,32
21,400,20,20,-52.01,0.99,0,1,32
22,400,23,23,-37.01,0.9896,0,1,32
23,400,15,15,-51.36,0.9891,0,1,32
24,400,17,17,-55.56,0.9886,0,1,32
25,400,16,16,-58.06,0.9881,0,1,32
26,400,15,15,-47.96,0.9877,0,1,32
27,400,12,12,-62.56,0.9872,0,1,32
28,400,19,19,-48.21,0.9867,0,1,32
29,400,18,18,-48.61,0.9862,0,1,32
30,400,7,7,-65.96,0.9858,0,1,32
31,400,25,25,-35.56,0.9853,0,1,32
32,400,15,15,-52.16,0.9848,0,1,32
33,400,23,23,-43.76,0.9843,0,1,32
34,400,18,18,-41.26,0.9839,0,1,32
35,400,17,17,-37.81,0.9834,0,1,32
36,400,7,7,-55.51,0.9829,0,1,32
37,400,19,19,-44.86,0.9824,0,1,32
38,400,21,21,-42.56,0.9819,0,1,32
39,400,17,17,-48.36,0.9815,0,1,32
40,400,20,20,-41.21,0.981,0,1,32
41,400,25,25,-38.46,0.9805,0,1,32
42,400,19,19,-48.56,0.98,0,1,32
43,400,18,18,-37.21,0.9796,0,1,32
44,400,14,14,-47.11,0.9791,0,1,32
45,400,17,17,-44.71,0.9786,0,1,32
46,400,25,25,-36.91,0.9781,0,1,32
47,400,17,17,-45.11,0.9777,0,1,32
48,400,26,26,-35.06,0.9772,0,1,32
49,400,13,13,-59.41,0.9767,0,1,32
50,400,12,12,-51.41,0.9762,0,1,32
51,400,23,23,-38.11,0.9758,0,1,32
52,400,16,16,-48.71,0.9753,0,1,32
53,400,16,16,-49.56,0.9748,0,1,32
54,400,14,14,-52.06,0.9744,0,1,32
55,400,16,16,-47.36,0.9739,0,1,32
56,400,16,16,-43.36,0.9734,0,1,32
57,400,19,19,-45.76,0.9729,0,1,32
58,400,16,16,-59.96,0.9725,0,1,32
59,400,15,15,-49.11,0.972,0,1,32
60,400,20,20,-50.56,0.9715,0,1,32
61,400,23,23,-38.66,0.971,0,1,32
62,400,16,16,-54.66,0.9706,0,1,32
63,400,26,26,-30.41,0.9701,0,1,32
64,400,20,20,-49.46,0.9696,0,1,32
65,400,11,11,-54.91,0.9691,0,1,32
66,400,20,20,-49.81,0.9687,0,1,32
67,400,13,13,-54.16,0.9682,0,1,32
68,400,26,26,-37.96,0.9677,0,1,32
69,400,18,18,-43.06,0.9672,0,1,32
70,400,22,22,-39.31,0.9667,0,1,32
71,400,16,16,-46.21,0.9663,0,1,32
72,400,23,23,-29.91,0.9658,0,1,32
73,400,9,9,-57.51,0.9653,0,1,32
74,400,25,25,-37.81,0.9648,0,1,32
75,400,24,24,-41.66,0.9644,0,1,32
76,400,20,20,-35.26,0.9639,0,1,32
77,400,11,11,-57.91,0.9634,0,1,32
78,400,20,20,-40.11,0.9629,0,1,32
79,400,15,15,-51.56,0.9625,0,1,32
80,400,18,18,-39.46,0.962,0,1,32
81,400,16,16,-43.51,0.9615,0,1,32
82,400,15,15,-52.31,0.961,0,1,32
83,400,17,17,-48.26,0.9606,0,1,32
84,400,13,13,-59.36,0.9601,0,1,32
85,400,12,12,-58.16,0.9596,0,1,32
86,400,20,20,-41.31,0.9591,0,1,32
87,400,15,15,-37.56,0.9587,0,1,32
88,400,22,22,-45.11,0.9582,0,1,32
89,400,14,14,-57.01,0.9577,0,1,32
90,400,24,24,-43.06,0.9573,0,1,32
91,400,23,23,-38.76,0.9568,0,1,32
92,400,22,24,-43.06,0.9563,0,1,32
93,400,13,13,-49.51,0.9558,0,1,32
94,400,28,28,-25.96,0.9554,0,1,32
95,400,11,13,-53.11,0.9549,0,1,32
96,400,16,16,-54.11,0.9544,0,1,32
97,400,21,21,-51.36,0.9539,0,1,32
98,400,23,23,-44.46,0.9535,0,1,32
99,400,26,26,-40.96,0.953,0,1,32
100,400,20,20,-41.86,0.9525,0,1,32
101,400,24,24,-38.96,0.952,0,1,32
