episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
59,400,25,25,-41.0,0.972,0,1,32,0.96546,1.48868,0.98587,1.6626,1.37445,0.0
60,400,12,12,-54.25,0.9715,0,1,32,0.9944,1.48411,1.00654,1.85259,1.42432,0.0
61,400,16,16,-56.85,0.971,0,1,32,1.01789,1.4685,1.03387,1.8002,1.46911,0.0
62,400,15,15,-55.8,0.9706,0,1,32,1.03225,1.55908,1.03809,1.74868,1.47188,0.0
63,400,15,15,-49.25,0.9701,0,1,32,1.03225,1.58457,1.03968,1.83631,1.47732,0.0
64,400,22,22,-48.05,0.9696,0,1,32,1.04734,1.61731,1.05922,1.68474,1.50341,0.0
65,400,25,25,-39.5,0.9691,0,1,32,1.05709,1.55912,1.05232,1.78805,1.5084,0.0
66,400,16,17,-44.85,0.9687,0,1,32,1.03833,1.50032,1.02605,1.71097,1.47144,0.0
67,400,14,14,-48.05,0.9682,0,1,32,1.02698,1.50866,1.02287,1.63864,1.46436,0.0
68,400,21,21,-46.55,0.9677,0,1,32,1.0851,1.49814,1.11089,1.85791,1.51649,0.0
69,400,28,28,-30.85,0.9672,0,1,32,1.15057,1.54488,1.15665,1.93749,1.59986,0.0
70,400,20,20,-35.7,0.9667,0,1,32,1.22125,1.68394,1.23172,1.97652,1.6514,0.0
71,400,18,19,-38.75,0.9663,0,1,32,1.21438,1.67758,1.20365,1.82052,1.65058,0.0
72,400,12,12,-60.5,0.9658,0,1,32,1.14634,1.56173,1.13422,1.74436,1.62232,0.0
73,400,29,29,-33.4,0.9653,0,1,32,1.13647,1.58247,1.12582,1.76435,1.60362,0.0
74,400,18,18,-54.55,0.9648,0,1,32,1.11983,1.54553,1.11725,1.76393,1.57207,0.0
75,400,15,15,-54.7,0.9644,0,1,32,1.09612,1.61235,1.1052,1.73888,1.55507,0.0
76,400,14,14,-56.6,0.9639,0,1,32,1.08491,1.61015,1.09956,1.68701,1.55218,0.0
77,400,24,24,-34.95,0.9634,0,1,32,1.08475,1.65505,1.07813,1.83088,1.53514,0.0
78,400,15,15,-44.95,0.9629,0,1,32,1.13452,1.5498,1.12504,1.85975,1.58387,0.0
79,400,12,12,-60.05,0.9625,0,1,32,1.13452,1.54461,1.12548,1.82017,1.58387,0.0
80,400,12,12,-59.2,0.962,0,1,32,1.12029,1.59564,1.12041,1.7278,1.58006,0.0
81,400,21,21,-40.75,0.9615,0,1,32,1.08176,1.60751,1.08559,1.68738,1.53748,0.0
82,400,11,11,-57.5,0.961,0,1,32,1.08176,1.60163,1.08559,1.67582,1.53748,0.0
83,400,17,17,-47.05,0.9606,0,1,32,1.08176,1.59962,1.07148,1.67489,1.53748,0.0
84,400,21,21,-37.75,0.9601,0,1,32,1.05848,1.58643,1.04089,1.69364,1.501,0.0
85,400,25,25,-25.95,0.9596,0,1,32,1.05888,1.59149,1.05035,1.79758,1.50339,0.0
86,400,19,19,-55.75,0.9591,0,1,32,1.06302,1.57872,1.05295,1.78687,1.50339,0.0
87,400,16,16,-49.6,0.9587,0,1,32,1.12648,1.60705,1.12734,1.88359,1.56339,0.0
88,400,30,30,-31.4,0.9582,0,1,32,1.07013,1.61225,1.14726,1.83762,1.59526,0.0
89,400,21,21,-37.5,0.9577,0,1,32,1.10853,1.5088,1.13994,1.84027,1.58405,0.0
90,400,14,14,-56.85,0.9573,0,1,32,1.12391,1.65059,1.13619,1.8165,1.58698,0.0
91,400,13,13,-48.25,0.9568,0,1,32,1.12391,1.65059,1.13619,1.84757,1.58994,0.0
92,400,18,18,-39.95,0.9563,0,1,32,1.13919,1.65519,1.15095,1.88701,1.59488,0.0
93,400,19,19,-35.55,0.9558,0,1,32,1.14937,1.59962,1.15833,1.8148,1.598,0.0
94,400,30,30,-30.3,0.9554,0,1,32,1.14132,1.65537,1.14618,1.90779,1.59232,0.0
95,400,20,20,-48.95,0.9549,0,1,32,1.18787,1.72999,1.20526,1.9047,1.63397,0.0
96,400,15,15,-48.95,0.9544,0,1,32,1.1975,1.73579,1.20536,1.8853,1.64666,0.0
97,400,14,14,-47.9,0.9539,0,1,32,1.20639,1.75831,1.20775,1.90484,1.65264,0.0
98,400,20,20,-40.65,0.9535,0,1,32,1.20861,1.74412,1.21281,1.92839,1.6567,0.0
99,400,24,24,-42.2,0.953,0,1,32,1.20982,1.71529,1.21281,1.96038,1.65778,0.0
100,400,13,13,-51.1,0.9525,0,1,32,1.2288,1.71974,1.23582,1.98281,1.66723,0.0
101,400,22,22,-38.35,0.952,0,1,32,1.2385,1.70526,1.23964,1.94231,1.673,0.0
102,400,28,28,-33.1,0.9516,0,1,32,1.24343,1.73072,1.2398,1.96391,1.67517,0.0
103,400,24,24,-38.65,0.9511,0,1,32,1.24956,1.73339,1.24695,1.98048,1.68403,0.0
104,400,16,16,-47.85,0.9506,0,1,32,1.22426,1.72528,1.23922,1.90916,1.69001,0.0
105,400,20,20,-41.5,0.9501,0,1,32,1.22728,1.73501,1.24117,1.87862,1.68935,0.0
106,400,17,17,-40.15,0.9496,0,1,32,1.20833,1.73792,1.23147,1.88505,1.68447,0.0
107,400,19,19,-43.4,0.9492,0,1,32,1.25917,1.77279,1.28364,2.01561,1.73021,0.0
108,400,25,25,-33.2,0.9487,0,1,32,1.27282,1.69628,1.29118,2.00923,1.7416,0.0
109,400,21,21,-40.0,0.9482,0,1,32,1.26807,1.71628,1.28287,1.94909,1.73208,0.0
110,400,29,29,-25.3,0.9477,0,1,32,1.26455,1.73975,1.27815,1.99376,1.72538,0.0
111,400,13,13,-56.15,0.9473,0,1,32,1.27564,1.74643,1.2958,1.9482,1.73774,0.0
112,400,10,10,-58.55,0.9468,0,1,32,1.21456,1.73264,1.22447,1.83651,1.59039,0.0
113,400,16,17,-49.1,0.9463,0,1,32,1.21211,1.6393,1.21359,1.89587,1.60041,0.0
114,400,17,17,-36.15,0.9458,0,1,32,1.20353,1.68128,1.19392,1.86459,1.62131,0.0
115,400,19,19,-41.45,0.9454,0,1,32,1.21167,1.70946,1.2019,1.93071,1.6371,0.0
116,400,29,29,-26.4,0.9449,0,1,32,1.21544,1.7435,1.20358,1.95115,1.64787,0.0
117,400,17,17,-49.65,0.9444,0,1,32,1.23946,1.75835,1.23286,1.97084,1.6801,0.0
118,400,24,24,-39.9,0.9439,0,1,32,1.27756,1.77066,1.27077,2.03003,1.71307,0.0
119,400,32,32,-24.9,0.9435,0,1,32,1.29432,1.7866,1.2808,2.11381,1.72998,0.0
120,400,20,20,-43.15,0.943,0,1,32,1.33777,1.8027,1.31917,2.08357,1.77642,0.0
121,400,22,22,-41.75,0.9425,0,1,32,1.34231,1.82386,1.34404,2.02205,1.78943,0.0
122,400,26,26,-37.05,0.9421,0,1,32,1.32449,1.76574,1.32817,1.9678,1.77404,0.0
123,400,21,21,-39.45,0.9416,0,1,32,1.3163,1.7777,1.31933,2.01936,1.76018,0.0
124,400,19,19,-40.7,0.9411,0,1,32,1.31964,1.79739,1.3208,2.06055,1.76831,0.0
125,400,18,18,-45.55,0.9406,0,1,32,1.32212,1.79633,1.32146,2.02857,1.68477,0.0
126,400,19,19,-42.4,0.9402,0,1,32,1.32058,1.79898,1.32071,2.02017,1.69241,0.0
127,400,17,17,-46.55,0.9397,0,1,32,1.32376,1.84639,1.32367,1.95232,1.74084,0.0
128,400,16,16,-51.85,0.9392,0,1,32,1.28723,1.8376,1.282,1.90937,1.71749,0.0
129,400,25,25,-45.05,0.9387,0,1,32,1.27374,1.84746,1.25248,1.91666,1.70107,0.0
130,400,30,30,-34.0,0.9383,0,1,32,1.26127,1.84228,1.24965,1.98214,1.69297,0.0
131,400,24,24,-37.85,0.9378,0,1,32,1.18092,1.86712,1.2555,1.97711,1.70228,0.0
132,400,23,23,-40.35,0.9373,0,1,32,1.24629,1.8776,1.27804,2.04267,1.74126,0.0
133,400,29,29,-34.35,0.9368,0,1,32,1.24997,1.87409,1.28138,2.02673,1.74584,0.0
134,400,20,20,-37.95,0.9364,0,1,32,1.27436,1.91311,1.28965,2.04934,1.74835,0.0
135,400,24,24,-44.35,0.9359,0,1,32,1.28676,1.87311,1.30739,2.08845,1.75664,0.0
136,400,21,21,-45.45,0.9354,0,1,32,1.30691,1.87353,1.32941,2.09522,1.76964,0.0
137,400,27,27,-26.55,0.9349,0,1,32,1.3505,1.91172,1.33802,2.15168,1.79244,0.0
138,400,27,27,-44.9,0.9345,0,1,32,1.36175,1.89432,1.35402,2.18025,1.80523,0.0
139,400,21,22,-43.0,0.934,0,1,32,1.42766,1.93886,1.41684,2.19188,1.85746,0.0
140,400,18,18,-45.4,0.9335,0,1,32,1.43436,1.88346,1.42914,2.14616,1.8713,0.0
141,400,13,13,-62.2,0.933,0,1,32,1.41567,1.85467,1.41654,2.05239,1.85935,0.0
142,400,22,22,-42.85,0.9325,0,1,32,1.38894,1.87119,1.38819,2.11992,1.84948,0.0
143,400,29,29,-30.25,0.9321,0,1,32,1.40557,1.90243,1.4095,2.18667,1.86523,0.0
144,400,19,19,-56.45,0.9316,0,1,32,1.41254,1.88425,1.41446,2.09614,1.87014,0.0
145,400,26,26,-33.3,0.9311,0,1,32,1.4054,1.87757,1.40807,2.1222,1.86792,0.0
146,400,14,14,-48.1,0.9306,0,1,32,1.37068,1.87686,1.37511,2.05518,1.84035,0.0
147,400,19,19,-45.8,0.9302,0,1,32,1.35324,1.83029,1.35927,2.02531,1.81379,0.0
148,400,24,24,-36.15,0.9297,0,1,32,1.34584,1.83014,1.34791,1.99375,1.81379,0.0
149,400,20,20,-37.8,0.9292,0,1,32,1.33071,1.83771,1.32794,1.97561,1.79707,0.0
150,400,23,23,-33.7,0.9287,0,1,32,1.32124,1.85552,1.32328,2.02295,1.78195,0.0
151,400,27,27,-27.9,0.9283,0,1,32,1.32061,1.88177,1.32233,2.06117,1.77206,0.0
152,400,32,32,-26.8,0.9278,0,1,32,1.33488,1.87075,1.33175,2.03987,1.78529,0.0
153,400,27,27,-29.75,0.9273,0,1,32,1.33634,1.88509,1.33346,2.06379,1.77671,0.0
154,400,24,24,-39.0,0.9268,0,1,32,1.33634,1.88194,1.33357,2.03989,1.77692,0.0
155,400,27,27,-26.2,0.9264,0,1,32,1.33648,1.88204,1.33445,2.03281,1.78013,0.0
156,400,15,15,-51.1,0.9259,0,1,32,1.32181,1.8922,1.32227,2.00965,1.76857,0.0
157,400,12,12,-50.6,0.9254,0,1,32,1.32181,1.8922,1.32227,2.04605,1.76776,0.0
158,400,21,21,-36.75,0.925,0,1,32,1.32172,1.8825,1.32258,2.08095,1.76993,0.0
159,400,20,20,-44.95,0.9245,0,1,32,1.31936,1.87627,1.32385,1.99795,1.76847,0.0
160,400,18,18,-41.55,0.924,0,1,32,1.32788,1.86651,1.32012,2.11464,1.77098,0.0
161,400,24,24,-24.55,0.9235,0,1,32,1.33495,1.86187,1.34087,2.12395,1.78923,0.0
162,400,15,15,-46.65,0.9231,0,1,32,1.36946,1.8773,1.37544,2.15099,1.82828,0.0
163,400,20,20,-37.4,0.9226,0,1,32,1.39113,1.80479,1.39897,2.12632,1.84204,0.0
164,400,23,23,-34.6,0.9221,0,1,32,1.31268,1.82205,1.39181,2.11853,1.8346,0.0
165,400,22,22,-40.6,0.9216,0,1,32,1.32661,1.82948,1.39103,2.07847,1.83532,0.0
166,400,12,12,-52.45,0.9212,0,1,32,1.32457,1.83948,1.34584,1.95713,1.80011,0.0
167,400,26,26,-32.85,0.9207,0,1,32,1.3101,1.82684,1.33077,1.97151,1.78162,0.0
168,400,20,20,-44.75,0.9202,0,1,32,1.30862,1.85572,1.31611,2.03059,1.77129,0.0
169,400,19,19,-46.55,0.9197,0,1,32,1.31569,1.89216,1.32056,2.00581,1.77033,0.0
170,400,17,17,-41.15,0.9193,0,1,32,1.31121,1.8851,1.31508,2.03266,1.76364,0.0
171,400,24,24,-36.9,0.9188,0,1,32,1.33269,1.89568,1.25832,1.99707,1.7836,0.0
172,400,24,24,-39.2,0.9183,0,1,32,1.32669,1.88132,1.2625,1.99898,1.70581,0.0
173,400,21,21,-35.75,0.9178,0,1,32,1.32883,1.86991,1.28636,2.03402,1.73605,0.0
174,400,28,28,-35.0,0.9173,0,1,32,1.32979,1.88285,1.31009,2.03555,1.75914,0.0
175,400,31,31,-22.0,0.9169,0,1,32,1.32785,1.89214,1.31439,2.03417,1.76317,0.0
176,400,28,28,-28.95,0.9164,0,1,32,1.3249,1.89576,1.31563,2.01771,1.76312,0.0
177,400,15,15,-47.65,0.9159,0,1,32,1.3103,1.86194,1.30311,1.98548,1.75068,0.0
178,400,17,17,-43.45,0.9154,0,1,32,1.30878,1.82502,1.30799,1.95947,1.75002,0.0
179,400,27,27,-33.3,0.915,0,1,32,1.29908,1.84265,1.29579,1.99669,1.73782,0.0
180,400,26,26,-36.7,0.9145,0,1,32,1.30568,1.84821,1.30808,2.00629,1.74906,0.0
181,400,21,21,-41.4,0.914,0,1,32,1.30534,1.85706,1.30797,2.00856,1.75033,0.0
182,400,34,34,-20.35,0.9135,0,1,32,1.29874,1.88435,1.29894,2.03126,1.74558,0.0
183,400,29,29,-26.95,0.9131,0,1,32,1.31378,1.89225,1.32178,2.07106,1.7742,0.0
184,400,15,15,-43.0,0.9126,0,1,32,1.31568,1.89225,1.32359,2.05266,1.77618,0.0
185,400,24,24,-33.75,0.9121,0,1,32,1.325,1.92038,1.32908,2.07636,1.78188,0.0
186,400,33,33,-22.2,0.9116,0,1,32,1.34909,1.93654,1.34935,2.15742,1.78944,0.0
187,400,32,32,-27.3,0.9112,0,1,32,1.37863,1.93389,1.3727,2.13889,1.81105,0.0
188,400,26,27,-29.4,0.9107,0,1,32,1.41413,1.97448,1.40724,2.19212,1.83733,0.0
189,400,23,23,-33.1,0.9102,0,1,32,1.42336,1.97081,1.41119,2.15646,1.85004,0.0
190,400,24,24,-32.15,0.9098,0,1,32,1.41693,1.9529,1.34172,2.14451,1.85566,0.0
191,400,25,25,-30.5,0.9093,0,1,32,1.41569,1.95395,1.35281,2.10981,1.85548,0.0
192,400,19,19,-46.75,0.9088,0,1,32,1.41321,1.90927,1.36414,2.14415,1.86135,0.0
193,400,16,16,-43.6,0.9083,0,1,32,1.41308,1.92954,1.37736,2.14967,1.86222,0.0
194,400,25,26,-27.45,0.9079,0,1,32,1.41571,1.9441,1.39253,2.13503,1.86567,0.0
195,400,28,28,-34.25,0.9074,0,1,32,1.41796,1.96391,1.40343,2.14291,1.8658,0.0
196,400,20,20,-52.05,0.9069,0,1,32,1.41748,1.95607,1.40496,2.1399,1.86573,0.0
