episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
119,18,0,0,1,1,-5.33,0.9435,1,0,0.5021
120,7,0,0,3,1,-4.17,0.943,1,0,0.5058
121,6,0,0,3,1,-4.26,0.9425,1,0,0.5093
122,6,0,0,2,1,-4.61,0.9421,1,0,0.5137
123,6,0,0,4,1,-3.86,0.9416,1,0,0.5162
124,6,0,0,2,1,-4.51,0.9411,1,0,0.5217
125,15,1,1,5,2,-2.55,0.9406,1,0,0.5232
126,7,0,0,2,1,-4.37,0.9402,1,0,0.5255
127,7,0,0,3,1,-4.32,0.9397,1,0,0.5288
128,7,0,0,2,1,-4.62,0.9392,1,0,0.5336
129,5,0,0,4,1,-3.9,0.9387,1,0,0.532
130,5,0,0,4,1,-3.9,0.9383,1,0,0.5346
131,5,0,0,2,1,-4.5,0.9378,1,0,0.5358
132,8,0,0,4,1,-3.98,0.9373,1,0,0.5377
133,5,0,0,4,1,-3.9,0.9368,1,0,0.5414
134,5,0,0,3,1,-4.1,0.9364,1,0,0.5463
135,25,1,1,6,3,-2.8,0.9359,1,0,0.5488
136,17,0,0,3,2,-4.32,0.9354,1,0,0.5486
137,5,0,0,3,1,-4.2,0.9349,1,0,0.5519
138,10,0,0,3,1,-4.25,0.9345,1,0,0.5538
139,7,0,0,2,1,-4.47,0.934,1,0,0.5554
140,7,0,0,3,1,-4.27,0.9335,1,0,0.5597
141,7,0,0,2,1,-4.47,0.933,1,0,0.5648
142,7,0,0,4,1,-3.87,0.9325,1,0,0.5685
143,9,0,0,3,1,-4.44,0.9321,1,0,0.5723
144,5,0,0,2,1,-4.6,0.9316,1,0,0.5763
145,5,0,0,4,1,-3.9,0.9311,1,0,0.5785
146,7,0,0,3,1,-4.07,0.9306,1,0,0.5798
147,8,0,0,4,1,-3.98,0.9302,1,0,0.5814
148,5,0,0,1,1,-4.75,0.9297,1,0,0.5836
149,6,0,0,3,1,-4.01,0.9292,1,0,0.5859
150,15,0,0,7,2,-2.9,0.9287,1,0,0.5846
151,9,0,0,2,1,-4.59,0.9283,1,0,0.5889
152,9,0,0,4,1,-3.84,0.9278,1,0,0.5899
153,7,0,0,3,1,-4.02,0.9273,1,0,0.5919
154,26,0,0,6,3,-4.01,0.9268,1,0,0.5941
155,5,0,0,2,1,-4.6,0.9264,1,0,0.598
156,7,0,0,2,1,-4.72,0.9259,1,0,0.6018
157,7,0,0,4,1,-3.62,0.9254,1,0,0.6028
158,9,0,0,2,1,-4.69,0.925,1,0,0.606
159,10,0,0,2,1,-4.5,0.9245,1,0,0.6074
160,5,0,0,2,1,-4.35,0.924,1,0,0.6097
161,5,0,0,3,1,-4.2,0.9235,1,0,0.6126
162,5,0,0,2,1,-4.6,0.9231,1,0,0.6174
163,5,0,0,1,1,-4.9,0.9226,1,0,0.623
164,5,0,0,2,1,-4.5,0.9221,1,0,0.6284
165,5,0,0,2,1,-4.5,0.9216,1,0,0.6328
166,8,0,0,3,1,-4.33,0.9212,1,0,0.6355
167,5,0,0,2,1,-4.45,0.9207,1,0,0.6402
168,7,0,0,2,1,-4.47,0.9202,1,0,0.6423
169,7,0,0,3,1,-4.07,0.9197,1,0,0.6437
170,5,0,0,4,1,-3.8,0.9193,1,0,0.6454
171,16,0,0,3,2,-4.41,0.9188,1,0,0.6489
172,23,0,0,3,2,-4.88,0.9183,1,0,0.6481
173,5,0,0,3,1,-4.3,0.9178,1,0,0.6521
174,5,0,0,4,1,-3.7,0.9173,1,0,0.6546
175,5,0,0,3,1,-4.2,0.9169,1,0,0.657
176,8,0,0,2,1,-4.43,0.9164,1,0,0.6585
177,6,0,0,2,1,-4.51,0.9159,1,0,0.6611
178,5,0,0,3,1,-4.2,0.9154,1,0,0.6636
179,9,0,0,2,1,-4.64,0.915,1,0,0.6669
180,16,0,0,6,2,-3.41,0.9145,1,0,0.667
181,10,0,0,4,1,-3.9,0.914,1,0,0.6679
182,7,0,0,1,1,-4.77,0.9135,1,0,0.6729
183,21,1,1,6,2,-2.46,0.9131,1,0,0.6723
184,19,0,0,6,1,-3.44,0.9126,1,0,0.6691
185,7,0,0,4,1,-3.92,0.9121,1,0,0.6706
186,5,0,0,2,1,-4.5,0.9116,1,0,0.6739
187,6,0,0,3,1,-4.16,0.9112,1,0,0.6772
188,5,0,0,2,1,-4.45,0.9107,1,0,0.6787
189,13,0,0,5,2,-3.78,0.9102,1,0,0.6805
190,5,0,0,4,1,-3.9,0.9098,1,0,0.6824
