episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited
1,400,8,8,-60.16,0.9995,0,1,12
2,400,26,26,-39.86,0.999,0,1,21
3,400,13,13,-62.06,0.9986,0,1,25
4,400,11,11,-47.96,0.9981,0,1,26
5,400,9,9,-53.61,0.9976,0,1,26
6,400,18,18,-38.46,0.9971,0,1,28
7,400,16,16,-50.31,0.9967,0,1,29
8,400,23,23,-39.31,0.9962,0,1,30
9,400,20,20,-60.76,0.9957,0,1,30
10,400,17,17,-62.06,0.9952,0,1,31
11,400,18,18,-43.61,0.9948,0,1,31
12,400,14,14,-53.46,0.9943,0,1,31
13,400,19,19,-46.56,0.9938,0,1,31
14,400,14,14,-57.21,0.9933,0,1,31
15,400,16,18,-55.41,0.9929,0,1,32
16,400,10,10,-65.81,0.9924,0,1,32
17,400,14,14,-59.51,0.9919,0,1,32
18,400,22,22,-39.61,0.9915,0,1,32
19,400,19,19,-35.01,0.991,0,1,32
20,400,18,18,-48.41,0.9905,0,1,32
21,400,11,11,-60.56,0.99,0,1,32
22,400,19,21,-47.01,0.9896,0,1,32
23,400,23,23,-45.01,0.9891,0,1,32
24,400,14,14,-48.91,0.9886,0,1,32
25,400,16,16,-57.81,0.9881,0,1,32
26,400,18,18,-46.66,0.9877,0,1,32
27,400,20,20,-49.91,0.9872,0,1,32
28,400,6,6,-72.36,0.9867,0,1,32
29,400,19,19,-48.91,0.9862,0,1,32
30,400,15,15,-59.06,0.9858,0,1,32
31,400,23,23,-44.61,0.9853,0,1,32
32,400,14,14,-51.16,0.9848,0,1,32
33,400,25,25,-41.41,0.9843,0,1,32
34,400,15,15,-56.96,0.9839,0,1,32
35,400,16,16,-46.31,0.9834,0,1,32
36,400,18,18,-46.61,0.9829,0,1,32
37,400,21,21,-41.01,0.9824,0,1,32
38,400,21,21,-35.66,0.9819,0,1,32
39,400,21,21,-45.41,0.9815,0,1,32
40,400,18,18,-48.86,0.981,0,1,32
41,400,11,11,-50.31,0.9805,0,1,32
42,400,19,19,-43.81,0.98,0,1,32
43,400,23,23,-43.96,0.9796,0,1,32
44,400,22,22,-39.86,0.9791,0,1,32
45,400,17,17,-48.61,0.9786,0,1,32
46,400,17,17,-38.46,0.9781,0,1,32
47,400,22,22,-42.01,0.9777,0,1,32
48,400,18,20,-51.21,0.9772,0,1,32
49,400,16,18,-55.06,0.9767,0,1,32
50,400,18,18,-51.96,0.9762,0,1,32
51,400,21,21,-40.41,0.9758,0,1,32
52,400,15,15,-50.81,0.9753,0,1,32
53,400,11,11,-52.06,0.9748,0,1,32
54,400,22,22,-42.41,0.9744,0,1,32
55,400,15,15,-48.61,0.9739,0,1,32
56,400,13,13,-48.66,0.9734,0,1,32
57,400,17,17,-49.86,0.9729,0,1,32
58,400,15,15,-53.56,0.9725,0,1,32
59,400,15,15,-53.26,0.972,0,1,32
60,400,10,10,-54.61,0.9715,0,1,32
61,400,16,16,-50.56,0.971,0,1,32
62,400,19,19,-46.76,0.9706,0,1,32
63,400,26,26,-37.41,0.9701,0,1,32
