episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
1,400,18,18,-50.35,0.9998,0,1,13,-0.1366,0.00771,-0.13704,0.01297,-0.01635,0.0
2,400,10,10,-59.55,0.9995,0,1,16,-0.27505,0.04112,-0.22446,0.07051,-0.01612,0.0
3,400,29,29,-32.45,0.9993,0,1,20,-0.2841,0.17473,-0.29893,0.41783,0.09487,0.0
4,400,21,21,-43.6,0.999,0,1,23,-0.26362,0.1875,-0.2616,0.40738,0.17373,0.0
5,400,19,19,-51.05,0.9988,0,1,23,-0.25459,0.28396,-0.2616,0.4119,0.17373,0.0
6,400,23,23,-41.85,0.9986,0,1,24,-0.21026,0.43324,-0.17498,0.46087,0.27052,0.0
7,400,22,22,-53.15,0.9983,0,1,25,-0.11975,0.45225,-0.10937,0.40875,0.32427,0.0
8,400,16,16,-52.05,0.9981,0,1,26,-0.07516,0.51127,-0.01936,0.60026,0.34575,0.0
9,400,18,18,-54.0,0.9979,0,1,27,0.03158,0.58831,0.07603,0.74793,0.43302,0.0
10,400,16,16,-49.65,0.9976,0,1,27,0.13248,0.68081,0.15426,0.74789,0.58994,0.0
11,400,19,19,-54.15,0.9974,0,1,27,0.14933,0.689,0.2062,0.92617,0.63043,0.0
12,400,23,23,-35.95,0.9971,0,1,28,0.27302,0.68684,0.29578,1.02241,0.76157,0.0
13,400,9,9,-63.75,0.9969,0,1,28,0.27302,0.7138,0.35465,1.07009,0.79397,0.0
14,400,16,16,-50.75,0.9967,0,1,31,0.39973,0.61807,0.4321,1.03469,0.87158,0.0
15,400,16,16,-51.1,0.9964,0,1,31,0.38518,0.73574,0.40689,0.90802,0.83051,0.0
16,400,6,6,-70.7,0.9962,0,1,31,0.36987,0.6213,0.27925,0.98474,0.81571,0.0
17,400,16,16,-42.95,0.996,0,1,31,0.37316,0.69093,0.27925,1.02306,0.81677,0.0
18,400,14,14,-54.95,0.9957,0,1,31,0.40044,0.92633,0.35619,1.04376,0.88757,0.0
19,400,16,16,-54.2,0.9955,0,1,31,0.40425,0.96332,0.38881,1.02034,0.87965,0.0
20,400,17,17,-52.5,0.9952,0,1,31,0.45683,0.96577,0.4171,1.11964,0.89681,0.0
21,400,27,27,-38.95,0.995,0,1,31,0.48853,1.01737,0.4943,1.27447,0.96457,0.0
22,400,22,22,-39.65,0.9948,0,1,31,0.56277,1.06849,0.50702,1.26815,0.98726,0.0
