episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
106,400,25,25,0,0,16.5,0.9496,0,1,30.6828
107,400,29,29,0,0,19.25,0.9492,0,1,30.969
108,400,35,35,0,0,25.4,0.9487,0,1,31.3106
109,400,23,23,0,0,13.1,0.9482,0,1,31.4578
110,400,16,16,0,0,5.9,0.9477,0,1,31.4275
111,400,28,28,0,0,18.85,0.9473,0,1,31.5526
112,400,31,31,0,0,21.55,0.9468,0,1,31.6645
113,400,27,27,0,0,16.8,0.9463,0,1,31.8324
114,400,21,21,0,0,11.75,0.9458,0,1,31.8123
115,400,29,29,0,0,19.65,0.9454,0,1,31.8949
116,400,37,37,0,0,27.85,0.9449,0,1,32.1526
117,400,24,24,0,0,14.3,0.9444,0,1,32.529
118,400,19,20,0,0,10.55,0.9439,0,1,32.5992
119,400,30,30,0,0,20.65,0.9435,0,1,32.442
120,400,25,25,0,0,15.6,0.943,0,1,32.5595
121,400,27,27,0,0,17.05,0.9425,0,1,32.6531
122,400,24,24,0,0,14.0,0.9421,0,1,32.7905
123,400,23,23,0,0,13.85,0.9416,0,1,32.8
124,400,18,18,0,0,9.0,0.9411,0,1,32.8129
125,400,26,26,0,0,16.25,0.9406,0,1,32.841
126,400,24,24,0,0,14.0,0.9402,0,1,33.0465
127,400,25,25,0,0,15.7,0.9397,0,1,33.0771
128,400,23,23,0,0,13.7,0.9392,0,1,33.2037
129,400,27,27,0,0,18.3,0.9387,0,1,33.2421
130,400,14,14,0,0,5.1,0.9383,0,1,32.8138
131,400,30,30,0,0,20.45,0.9378,0,1,33.1111
132,400,32,32,0,0,22.6,0.9373,0,1,33.5076
133,400,26,26,0,0,17.05,0.9368,0,1,33.8193
134,400,28,28,0,0,17.6,0.9364,0,1,33.9618
135,400,27,27,0,0,18.6,0.9359,0,1,34.2502
136,400,25,25,0,0,15.15,0.9354,0,1,34.4976
137,400,31,31,0,0,22.45,0.9349,0,1,34.5751
138,400,21,21,0,0,11.55,0.9345,0,1,34.0076
139,400,33,33,0,0,24.0,0.934,0,1,34.1672
140,400,20,20,0,0,11.1,0.9335,0,1,34.0562
141,400,25,25,0,0,16.3,0.933,0,1,34.1342
142,400,21,21,0,0,11.3,0.9325,0,1,34.2341
143,400,29,30,0,0,20.25,0.9321,0,1,34.1969
144,400,21,21,0,0,11.4,0.9316,0,1,33.6852
145,400,23,23,0,0,13.2,0.9311,0,1,33.6887
146,400,25,25,0,0,15.55,0.9306,0,1,33.7256
147,400,21,21,0,0,11.7,0.9302,0,1,33.7964
148,400,31,31,0,0,21.7,0.9297,0,1,34.3218
149,400,22,22,0,0,12.85,0.9292,0,1,34.4739
150,400,22,22,0,0,13.35,0.9287,0,1,34.5462
151,400,26,26,0,0,16.45,0.9283,0,1,34.7501
152,400,26,26,0,0,16.25,0.9278,0,1,34.7272
153,400,33,33,0,0,23.35,0.9273,0,1,34.8083
154,400,22,22,0,0,13.0,0.9268,0,1,34.6433
155,400,35,35,0,0,25.9,0.9264,0,1,34.7966
156,400,20,20,0,0,10.6,0.9259,0,1,34.5533
157,400,29,29,0,0,19.7,0.9254,0,1,34.6113
158,400,27,28,0,0,18.75,0.925,0,1,34.6057
