episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
1,400,8,8,-60.1,0.9995,0,1,12,-0.31245,0.02658,-0.30353,0.11014,0.07137,0.0
2,400,26,26,-39.85,0.999,0,1,21,-0.30915,0.11162,-0.29036,0.32966,0.11289,0.0
3,400,13,13,-62.05,0.9986,0,1,25,-0.24763,0.13052,-0.27572,0.47245,0.11289,0.0
4,400,11,11,-47.95,0.9981,0,1,26,-0.23135,0.14638,-0.27572,0.54104,0.11289,0.0
5,400,9,9,-53.6,0.9976,0,1,26,-0.16668,0.27,-0.15167,0.47781,0.19523,0.0
6,400,18,18,-38.45,0.9971,0,1,28,-0.09497,0.29913,-0.11665,0.43096,0.32165,0.0
7,400,16,16,-49.8,0.9967,0,1,29,-0.09497,0.31165,-0.11639,0.43992,0.32228,0.0
8,400,23,23,-38.8,0.9962,0,1,30,-0.06989,0.43777,-0.059,0.65396,0.39228,0.0
9,400,20,20,-60.25,0.9957,0,1,30,-0.00157,0.51303,-0.00708,0.76203,0.48402,0.0
10,400,17,17,-61.55,0.9952,0,1,31,0.06242,0.57229,0.05456,0.81092,0.49387,0.0
11,400,18,18,-43.55,0.9948,0,1,31,0.17214,0.65767,0.17397,0.82975,0.63969,0.0
12,400,14,14,-53.45,0.9943,0,1,31,0.17947,0.6891,0.18468,0.82566,0.64118,0.0
13,400,19,19,-46.05,0.9938,0,1,31,0.28549,0.74418,0.27687,0.96944,0.68731,0.0
14,400,14,14,-57.2,0.9933,0,1,31,0.3229,0.83487,0.2978,0.92482,0.7209,0.0
15,400,16,17,-56.4,0.9929,0,1,32,0.30413,0.8012,0.26586,0.82477,0.73014,0.0
16,400,10,10,-65.75,0.9924,0,1,32,0.23023,0.80385,0.22119,0.76367,0.61186,0.0
17,400,14,14,-59.0,0.9919,0,1,32,0.25591,0.73979,0.23308,0.94275,0.66468,0.0
18,400,22,22,-39.6,0.9915,0,1,32,0.28885,0.84078,0.32185,1.14151,0.74814,0.0
19,400,19,19,-34.5,0.991,0,1,32,0.41448,0.85939,0.3819,1.08042,0.87475,0.0
20,400,18,18,-48.4,0.9905,0,1,32,0.56472,0.87221,0.59265,0.96343,1.02486,0.0
21,400,11,11,-60.55,0.99,0,1,32,0.53299,0.88675,0.55694,0.95276,1.00861,0.0
22,400,19,20,-48.0,0.9896,0,1,32,0.4619,0.89882,0.49979,1.22891,0.94357,0.0
23,400,23,23,-44.5,0.9891,0,1,32,0.72623,0.95888,0.54749,1.3729,1.21786,0.0
24,400,14,14,-48.4,0.9886,0,1,32,0.66471,1.06357,0.52937,1.22569,1.09256,0.0
25,400,16,16,-57.75,0.9881,0,1,32,0.61898,1.06857,0.56571,1.18047,1.05006,0.0
26,400,18,18,-46.15,0.9877,0,1,32,0.65341,1.19026,0.61341,1.39052,1.09402,0.0
27,400,20,20,-49.9,0.9872,0,1,32,0.49648,0.89856,0.49542,0.97051,1.01131,0.0
28,400,6,6,-72.3,0.9867,0,1,32,0.4024,0.92134,0.37627,0.95109,0.83363,0.0
29,400,19,19,-48.85,0.9862,0,1,32,0.44767,0.93578,0.44112,1.17123,0.93852,0.0
30,400,15,15,-58.55,0.9858,0,1,32,0.50928,0.94842,0.47938,1.16673,0.98886,0.0
31,400,23,23,-44.1,0.9853,0,1,32,0.54818,1.15648,0.55152,1.18733,1.02238,0.0
32,400,14,14,-51.1,0.9848,0,1,32,0.68825,1.05046,0.66942,1.41598,1.11073,0.0
33,400,25,25,-40.9,0.9843,0,1,32,0.69643,1.12139,0.68832,1.35103,1.12685,0.0
34,400,15,15,-56.45,0.9839,0,1,32,0.76071,1.25825,0.75743,1.32192,1.20919,0.0
35,400,16,16,-46.3,0.9834,0,1,32,0.69169,1.23993,0.6779,1.33387,1.14514,0.0
36,400,18,18,-46.55,0.9829,0,1,32,0.68649,1.26673,0.67888,1.31427,1.14514,0.0
37,400,21,21,-40.5,0.9824,0,1,32,0.77368,1.33747,0.74348,1.46591,1.25003,0.0
38,400,21,21,-35.6,0.9819,0,1,32,0.73454,1.3264,0.71327,1.35084,1.1693,0.0
39,400,21,21,-44.9,0.9815,0,1,32,0.60971,1.36815,0.72494,1.41808,1.17521,0.0
40,400,18,18,-48.35,0.981,0,1,32,0.72024,1.4507,0.74722,1.48671,1.22549,0.0
41,400,11,11,-49.8,0.9805,0,1,32,0.6394,1.46311,0.77808,1.42215,1.23935,0.0
42,400,19,19,-43.8,0.98,0,1,32,0.80808,1.38698,0.83277,1.66151,1.33657,0.0
43,400,23,23,-43.95,0.9796,0,1,32,0.99064,1.41889,0.99676,1.69928,1.4048,0.0
44,400,22,22,-39.85,0.9791,0,1,32,1.02463,1.46013,1.01921,1.70369,1.4603,0.0
45,400,17,17,-48.6,0.9786,0,1,32,1.02335,1.44444,1.01929,1.61593,1.45917,0.0
46,400,17,17,-38.45,0.9781,0,1,32,0.95241,1.49046,0.93389,1.53248,1.37557,0.0
47,400,22,22,-41.95,0.9777,0,1,32,0.90415,1.36337,0.89631,1.59365,1.36846,0.0
48,400,18,19,-52.2,0.9772,0,1,32,0.90553,1.46187,0.91255,1.58408,1.35186,0.0
49,400,16,17,-56.05,0.9767,0,1,32,0.89249,1.42743,0.89493,1.56285,1.33144,0.0
50,400,18,18,-51.45,0.9762,0,1,32,0.90646,1.42521,0.77843,1.6067,1.36057,0.0
51,400,21,21,-40.4,0.9758,0,1,32,0.98144,1.55153,0.89601,1.77155,1.39771,0.0
52,400,15,15,-50.8,0.9753,0,1,32,0.97435,1.38931,0.96961,1.63259,1.4131,0.0
53,400,11,11,-52.05,0.9748,0,1,32,0.98576,1.46057,0.97909,1.57004,1.44364,0.0
54,400,22,22,-42.35,0.9744,0,1,32,0.94895,1.49796,0.93429,1.52884,1.40249,0.0
55,400,15,15,-48.55,0.9739,0,1,32,0.9627,1.47695,0.94127,1.61171,1.41068,0.0
56,400,13,13,-48.6,0.9734,0,1,32,0.93303,1.48228,0.92188,1.60488,1.37539,0.0
57,400,17,17,-49.85,0.9729,0,1,32,0.95809,1.45674,0.93017,1.55731,1.40169,0.0
58,400,15,15,-53.05,0.9725,0,1,32,0.87812,1.51598,0.74617,1.6266,1.35014,0.0
59,400,15,15,-53.2,0.972,0,1,32,0.89705,1.45919,0.82147,1.55328,1.36369,0.0
60,400,10,10,-54.6,0.9715,0,1,32,0.83218,1.41201,0.81925,1.4652,1.25461,0.0
61,400,16,16,-50.05,0.971,0,1,32,0.83231,1.45912,0.81493,1.51447,1.25885,0.0
62,400,19,19,-46.75,0.9706,0,1,32,0.83026,1.46872,0.83418,1.62886,1.27359,0.0
63,400,26,26,-36.9,0.9701,0,1,32,0.9515,1.52993,0.98048,1.67048,1.42373,0.0
64,400,13,14,-51.1,0.9696,0,1,32,0.95911,1.55793,0.96848,1.69843,1.40888,0.0
65,400,29,29,-28.5,0.9691,0,1,32,1.11222,1.60147,1.12101,1.87336,1.54314,0.0
66,400,24,24,-43.45,0.9687,0,1,32,1.15253,1.54378,1.14932,1.87938,1.57949,0.0
67,400,29,29,-27.65,0.9682,0,1,32,1.21506,1.61432,1.22171,2.00936,1.68742,0.0
68,400,15,15,-43.55,0.9677,0,1,32,1.23295,1.68375,1.22774,1.9319,1.69734,0.0
69,400,24,24,-38.15,0.9672,0,1,32,1.23144,1.7133,1.22784,2.08321,1.70032,0.0
70,400,8,8,-56.55,0.9667,0,1,32,1.29177,1.63078,1.3433,1.79909,1.73208,0.0
71,400,20,20,-47.9,0.9663,0,1,32,1.1901,1.6649,1.14555,1.70723,1.59741,0.0
72,400,24,24,-39.35,0.9658,0,1,32,1.22753,1.67999,1.21575,2.0141,1.64439,0.0
73,400,22,22,-33.7,0.9653,0,1,32,1.25805,1.6966,1.23223,2.0381,1.68788,0.0
74,400,13,13,-57.9,0.9648,0,1,32,1.18354,1.56338,1.18365,1.75766,1.65003,0.0
75,400,15,15,-50.05,0.9644,0,1,32,1.1287,1.61963,1.13134,1.77331,1.60152,0.0
76,400,22,22,-39.35,0.9639,0,1,32,1.15696,1.68508,1.17443,1.85987,1.61647,0.0
77,400,18,18,-50.3,0.9634,0,1,32,1.14676,1.66115,1.15287,1.79254,1.61621,0.0
78,400,24,25,-37.15,0.9629,0,1,32,1.1528,1.65987,1.1463,1.78311,1.59547,0.0
79,400,14,14,-50.8,0.9625,0,1,32,1.06541,1.62582,1.06321,1.78856,1.37392,0.0
80,400,27,27,-31.15,0.962,0,1,32,1.12104,1.71511,1.11158,1.80829,1.39454,0.0
81,400,13,13,-54.05,0.9615,0,1,32,1.12552,1.69048,1.12146,1.9336,1.44534,0.0
82,400,20,20,-47.4,0.961,0,1,32,1.12804,1.75038,1.13502,2.02598,1.44534,0.0
83,400,15,15,-39.6,0.9606,0,1,32,1.14658,1.73708,1.13502,1.93368,1.50091,0.0
84,400,12,12,-56.2,0.9601,0,1,32,1.12128,1.64701,1.13158,1.76705,1.58568,0.0
85,400,20,20,-43.7,0.9596,0,1,32,1.10654,1.66517,1.11765,1.84865,1.56652,0.0
86,400,19,19,-37.85,0.9591,0,1,32,1.11127,1.65694,1.11816,1.79296,1.57808,0.0
87,400,24,24,-44.0,0.9587,0,1,32,1.11533,1.73436,1.12087,1.81499,1.57814,0.0
88,400,23,23,-37.7,0.9582,0,1,32,1.113,1.71538,1.12993,1.93982,1.56501,0.0
89,400,14,14,-49.25,0.9577,0,1,32,1.12355,1.73669,1.15352,1.92779,1.58046,0.0
90,400,25,25,-33.95,0.9573,0,1,32,1.32485,1.79807,1.24416,2.04878,1.63253,0.0
91,400,14,14,-43.55,0.9568,0,1,32,1.31212,1.83236,1.24335,1.96172,1.63873,0.0
92,400,17,17,-35.6,0.9563,0,1,32,1.2552,1.77331,1.2212,1.89442,1.6471,0.0
93,400,18,18,-48.0,0.9558,0,1,32,1.2251,1.68977,1.21211,1.98143,1.64823,0.0
94,400,19,19,-39.95,0.9554,0,1,32,1.22764,1.75364,1.24502,2.00661,1.67082,0.0
95,400,25,25,-27.85,0.9549,0,1,32,1.24199,1.8068,1.28161,2.00467,1.72776,0.0
96,400,17,17,-51.75,0.9544,0,1,32,1.29274,1.72661,1.28057,2.00811,1.74815,0.0
97,400,27,27,-34.1,0.9539,0,1,32,1.29067,1.80838,1.10551,1.95154,1.74563,0.0
98,400,15,15,-51.3,0.9535,0,1,32,1.20793,1.81328,1.0052,1.97045,1.6814,0.0
99,400,25,25,-42.65,0.953,0,1,32,1.25169,1.71322,1.20011,1.98494,1.71204,0.0
100,400,30,30,-39.45,0.9525,0,1,32,1.27677,1.8435,1.26025,1.99829,1.72655,0.0
101,400,20,20,-37.9,0.952,0,1,32,1.29526,1.85369,1.29903,2.0339,1.76187,0.0
102,400,17,17,-44.75,0.9516,0,1,32,1.39103,1.87875,1.38506,2.01426,1.83609,0.0
103,400,22,22,-48.65,0.9511,0,1,32,1.39103,1.88217,1.36743,2.04799,1.81826,0.0
104,400,23,23,-38.9,0.9506,0,1,32,1.4084,1.96339,1.42541,2.21978,1.84907,0.0
105,400,12,12,-55.25,0.9501,0,1,32,1.43502,1.94427,1.45496,2.09942,1.88686,0.0
106,400,15,15,-41.45,0.9496,0,1,32,1.4263,1.8843,1.45496,2.05072,1.85833,0.0
107,400,33,33,-29.25,0.9492,0,1,32,1.40706,1.97891,1.40417,2.10184,1.84681,0.0
