episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
103,27,1,1,8,3,-1.6125,0.9511,1,0,0.3574
104,6,0,0,4,1,-3.835,0.9506,1,0,0.3586
105,6,0,0,2,1,-4.395,0.9501,1,0,0.3626
106,6,0,0,2,1,-4.585,0.9496,1,0,0.3657
107,10,0,0,3,1,-4.175,0.9492,1,0,0.3664
108,5,0,0,2,1,-4.475,0.9487,1,0,0.3689
109,5,0,0,4,1,-3.875,0.9482,1,0,0.3703
110,7,0,0,3,1,-4.195,0.9477,1,0,0.3718
111,11,0,0,2,1,-4.7025,0.9473,1,0,0.3738
112,5,0,0,3,1,-4.175,0.9468,1,0,0.3757
113,48,0,0,7,4,-3.7575,0.9463,1,0,0.3745
114,5,0,0,4,1,-3.875,0.9458,1,0,0.3758
115,5,0,0,3,1,-4.075,0.9454,1,0,0.3775
116,6,0,0,3,1,-4.085,0.9449,1,0,0.3795
117,5,0,0,3,1,-4.275,0.9444,1,0,0.3815
118,6,0,0,2,1,-4.395,0.9439,1,0,0.3854
119,6,0,0,3,1,-4.1925,0.9435,1,0,0.3894
120,7,0,0,3,1,-4.295,0.943,1,0,0.391
121,7,0,0,2,1,-4.445,0.9425,1,0,0.3944
122,14,0,0,4,1,-4.315,0.9421,1,0,0.3951
123,5,0,0,3,1,-4.275,0.9416,1,0,0.3969
124,21,1,1,2,2,-3.8275,0.9411,1,0,0.3998
125,5,0,0,4,1,-3.975,0.9406,1,0,0.4011
126,15,0,0,6,2,-3.2175,0.9402,1,0,0.4012
127,8,0,0,2,1,-4.4225,0.9397,1,0,0.4045
128,13,0,0,3,1,-4.205,0.9392,1,0,0.4053
129,10,0,0,2,1,-4.525,0.9387,1,0,0.4067
130,7,0,0,2,1,-4.545,0.9383,1,0,0.4097
131,5,0,0,2,1,-4.575,0.9378,1,0,0.4119
132,5,0,0,4,1,-3.875,0.9373,1,0,0.4136
133,18,0,0,1,2,-5.05,0.9368,1,0,0.4178
134,5,0,0,2,1,-4.575,0.9364,1,0,0.4201
135,20,1,1,5,2,-2.71,0.9359,1,0,0.4205
136,6,0,0,2,1,-4.295,0.9354,1,0,0.4244
137,8,0,0,3,1,-4.305,0.9349,1,0,0.4259
138,30,1,1,8,3,-2.4425,0.9345,1,0,0.4244
139,8,0,0,3,1,-4.255,0.934,1,0,0.4258
140,8,0,0,2,1,-4.655,0.9335,1,0,0.4278
141,8,0,0,2,1,-4.515,0.933,1,0,0.4317
142,5,0,0,3,1,-3.825,0.9325,1,0,0.4326
143,11,0,0,2,1,-4.485,0.9321,1,0,0.4355
144,9,0,0,4,1,-4.015,0.9316,1,0,0.4358
145,18,0,0,5,2,-3.4475,0.9311,1,0,0.4367
146,10,0,0,1,1,-4.935,0.9306,1,0,0.439
147,5,0,0,4,1,-3.875,0.9302,1,0,0.4402
148,14,0,0,3,1,-4.4825,0.9297,1,0,0.4414
