round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1345,400,28,28,67,30,34,0,0,1,0.601,0.26497,550.732
1346,400,19,19,59,30,36,0,0,1,0.6007,0.2687,536.02
1347,400,24,24,60,36,33,0,0,1,0.6004,0.30357,572.466
1348,400,16,16,49,31,37,0,0,1,0.6001,0.28053,493.816
1349,400,25,25,59,31,32,0,0,1,0.5998,0.28356,526.157
1350,107,4,4,25,10,12,1,1,0,0.5995,0.35571,94.233
1351,44,1,1,13,4,4,1,1,0,0.5992,0.49865,11.398
1352,400,32,32,78,32,34,0,0,1,0.5989,0.29494,546.398
1353,400,25,25,61,34,33,0,0,1,0.5986,0.29598,546.428
1354,400,25,25,70,32,33,0,0,1,0.5983,0.31103,572.511
1355,400,23,23,54,34,28,0,0,1,0.598,0.30972,575.827
1356,400,22,22,60,34,25,0,0,1,0.5977,0.31051,561.136
1357,400,28,28,74,30,30,0,0,1,0.5974,0.35169,555.575
1358,400,30,30,81,29,39,0,0,1,0.5971,0.36261,546.326
1359,400,25,25,61,33,33,0,0,1,0.5968,0.32016,522.65
1360,400,30,30,78,34,36,0,0,1,0.5965,0.30133,548.418
1361,400,32,32,75,30,33,0,0,1,0.5962,0.3122,618.861
1362,31,1,1,10,4,5,1,1,0,0.596,0.7153,-7.733
1363,231,13,13,49,18,23,1,1,0,0.5957,0.33475,324.925
1364,400,26,26,58,30,30,0,0,1,0.5954,0.31045,558.869
1365,400,25,25,72,30,33,0,0,1,0.5951,0.33532,581.916
1366,51,2,2,9,5,2,1,1,0,0.5948,0.52773,16.986
1367,268,15,15,45,23,15,1,1,0,0.5945,0.34348,350.153
1368,96,7,7,20,8,7,1,1,0,0.5942,0.4169,108.451
1369,400,26,26,67,28,25,0,0,1,0.5939,0.28944,616.438
1370,87,6,6,24,7,17,1,1,0,0.5936,0.41597,81.638
1371,189,10,10,26,17,15,1,1,0,0.5933,0.36197,235.382
