timestamp,exp_id,tag,mode,agent,opponents,scenario,seeds,rounds_per_seed,mean_score,score_std,score_margin,score_margin_std,mean_coins,coins_std,mean_kills,kills_std,suicide_rate,suicide_std,mean_bombs,mean_crates,win_rate,draw_rate,survival_rate,mean_steps,invalid_action_rate,mean_think_time,wall_seconds,note
2026-08-13 00:10:55,p2_const2k_seed6,p2_const2k_seed6,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.81666666666666,0.00188450666307713,6.410877899424612e-05,11.726516962051392,"constant alpha 2000 ep, 10 seeds"
2026-08-13 00:11:07,p2_const2k_seed7,p2_const2k_seed7,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0,6.445984274157771e-05,11.673387050628662,"constant alpha 2000 ep, 10 seeds"
2026-08-13 00:11:19,p2_const2k_seed8,p2_const2k_seed8,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.855,0.0006055468087683178,6.354170990431697e-05,11.689924001693726,"constant alpha 2000 ep, 10 seeds"
2026-08-13 00:11:39,p2_const2k_seed9,p2_const2k_seed9,fast,tabular_q,solo,coin-heaven,30,20,7.69,1.421594539410854,7.69,1.421594539410854,7.69,1.421594539410854,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,400.0,0.0004125,4.276888271172841e-05,20.067548036575317,"constant alpha 2000 ep, 10 seeds"
2026-08-13 00:11:50,p2_const2k_seed10,p2_const2k_seed10,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.98833333333333,0.0004704743725888188,6.490271755474535e-05,11.608025074005127,"constant alpha 2000 ep, 10 seeds"
2026-08-13 00:31:41,p2_visit2k_seed1,p2_visit2k_seed1,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,124.055,0.0,0.00011637174874796791,21.801993131637573,visit-count step size decay
2026-08-13 00:32:04,p2_visit2k_seed2,p2_visit2k_seed2,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,124.03666666666666,0.000550912364623364,0.0001200818806627982,22.441041946411133,visit-count step size decay
2026-08-13 00:32:26,p2_visit2k_seed3,p2_visit2k_seed3,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.91833333333334,0.000470740137994109,0.00012013955843607208,21.884917974472046,visit-count step size decay
2026-08-13 00:32:47,p2_visit2k_seed4,p2_visit2k_seed4,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.805,0.0017500639446441312,0.00011218288222327653,20.77449131011963,visit-count step size decay
2026-08-13 00:33:06,p2_visit2k_seed5,p2_visit2k_seed5,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,124.10166666666667,0.0,0.00010273103753308904,19.525271892547607,visit-count step size decay
2026-08-13 00:33:25,p2_visit2k_seed6,p2_visit2k_seed6,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.98833333333333,0.0011560227440753834,0.00010270211115681175,19.009989976882935,visit-count step size decay
2026-08-13 00:33:44,p2_visit2k_seed7,p2_visit2k_seed7,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0,0.00010211074948487439,19.243592977523804,visit-count step size decay
2026-08-13 00:34:03,p2_visit2k_seed8,p2_visit2k_seed8,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0006059953136362412,0.00010257575529205824,19.104982137680054,visit-count step size decay
2026-08-13 00:34:23,p2_visit2k_seed9,p2_visit2k_seed9,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0013331896899997306,0.00010204909161106865,19.231091022491455,visit-count step size decay
