episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited
1,400,18,18,-53.91,0.9995,0,1,15
2,400,15,15,-49.76,0.999,0,1,16
3,400,13,13,-55.11,0.9986,0,1,19
4,400,14,14,-49.46,0.9981,0,1,22
5,400,26,26,-36.01,0.9976,0,1,25
6,400,16,16,-58.11,0.9971,0,1,29
7,400,9,9,-65.16,0.9967,0,1,30
8,400,19,21,-48.76,0.9962,0,1,30
9,400,20,20,-39.76,0.9957,0,1,30
10,400,9,9,-64.16,0.9952,0,1,30
11,400,15,15,-52.36,0.9948,0,1,30
12,400,10,10,-48.36,0.9943,0,1,30
13,400,24,24,-48.26,0.9938,0,1,31
14,400,20,20,-43.81,0.9933,0,1,31
15,400,22,22,-32.31,0.9929,0,1,31
16,400,20,20,-44.11,0.9924,0,1,31
17,400,17,17,-53.66,0.9919,0,1,31
18,400,17,17,-42.61,0.9915,0,1,31
19,400,19,19,-50.11,0.991,0,1,31
20,400,17,17,-51.36,0.9905,0,1,31
21,400,17,17,-40.36,0.99,0,1,31
22,400,12,12,-56.76,0.9896,0,1,31
23,400,14,14,-51.21,0.9891,0,1,31
24,400,19,19,-32.96,0.9886,0,1,31
25,400,15,15,-56.06,0.9881,0,1,31
26,400,12,12,-61.16,0.9877,0,1,31
27,400,15,15,-57.91,0.9872,0,1,31
28,400,28,28,-41.36,0.9867,0,1,31
29,400,10,10,-53.96,0.9862,0,1,31
30,400,19,19,-50.16,0.9858,0,1,31
31,400,15,15,-53.96,0.9853,0,1,31
32,400,19,19,-42.36,0.9848,0,1,31
33,400,24,24,-31.81,0.9843,0,1,31
34,400,18,18,-50.56,0.9839,0,1,31
35,400,18,18,-50.56,0.9834,0,1,31
36,400,19,19,-44.31,0.9829,0,1,31
37,400,15,15,-50.86,0.9824,0,1,31
38,400,16,16,-48.76,0.9819,0,1,31
39,400,21,21,-34.31,0.9815,0,1,31
40,400,22,22,-34.46,0.981,0,1,31
41,400,17,17,-49.01,0.9805,0,1,31
42,400,17,17,-50.61,0.98,0,1,31
43,400,18,20,-47.66,0.9796,0,1,31
44,400,20,20,-42.81,0.9791,0,1,32
45,400,16,16,-51.66,0.9786,0,1,32
46,400,16,16,-52.46,0.9781,0,1,32
47,400,19,19,-38.71,0.9777,0,1,32
48,400,15,15,-51.76,0.9772,0,1,32
49,400,24,24,-31.76,0.9767,0,1,32
50,400,24,24,-40.31,0.9762,0,1,32
51,400,15,15,-46.61,0.9758,0,1,32
52,400,24,24,-43.31,0.9753,0,1,32
53,400,10,10,-54.41,0.9748,0,1,32
54,400,12,12,-49.56,0.9744,0,1,32
55,400,20,20,-35.26,0.9739,0,1,32
56,400,19,19,-51.26,0.9734,0,1,32
57,400,9,9,-59.06,0.9729,0,1,32
58,400,19,19,-47.56,0.9725,0,1,32
59,400,25,27,-37.41,0.972,0,1,32
60,400,14,14,-51.11,0.9715,0,1,32
61,400,21,21,-50.01,0.971,0,1,32
62,400,24,24,-39.66,0.9706,0,1,32
63,400,13,13,-50.51,0.9701,0,1,32
64,400,32,32,-28.46,0.9696,0,1,32
65,400,13,13,-48.26,0.9691,0,1,32
66,400,23,23,-42.06,0.9687,0,1,32
67,400,24,24,-41.61,0.9682,0,1,32
68,400,21,21,-46.26,0.9677,0,1,32
69,400,21,21,-40.91,0.9672,0,1,32
70,400,7,7,-63.21,0.9667,0,1,32
71,400,23,23,-36.41,0.9663,0,1,32
72,400,19,19,-41.81,0.9658,0,1,32
73,400,19,19,-51.06,0.9653,0,1,32
74,400,24,24,-29.96,0.9648,0,1,32
75,400,13,13,-53.71,0.9644,0,1,32
76,400,20,20,-44.01,0.9639,0,1,32
77,400,18,18,-56.16,0.9634,0,1,32
78,400,20,20,-44.31,0.9629,0,1,32
79,400,26,26,-44.41,0.9625,0,1,32
80,400,21,21,-52.76,0.962,0,1,32
81,400,18,18,-53.91,0.9615,0,1,32
82,400,21,21,-42.66,0.961,0,1,32
83,400,18,18,-46.91,0.9606,0,1,32
84,400,14,14,-46.66,0.9601,0,1,32
85,400,16,16,-47.46,0.9596,0,1,32
86,400,17,17,-55.71,0.9591,0,1,32
87,400,15,15,-54.06,0.9587,0,1,32
88,400,22,22,-44.96,0.9582,0,1,32
89,400,25,25,-27.36,0.9577,0,1,32
90,400,17,17,-53.71,0.9573,0,1,32
91,400,29,29,-37.11,0.9568,0,1,32
92,400,23,23,-38.06,0.9563,0,1,32
93,400,21,21,-43.61,0.9558,0,1,32
94,400,9,9,-63.51,0.9554,0,1,32
95,400,21,21,-33.11,0.9549,0,1,32
96,400,22,22,-40.76,0.9544,0,1,32
97,400,18,18,-54.51,0.9539,0,1,32
98,400,24,24,-29.56,0.9535,0,1,32
99,400,26,26,-32.51,0.953,0,1,32
100,400,29,29,-37.51,0.9525,0,1,32
101,400,19,19,-38.61,0.952,0,1,32
102,400,23,23,-34.31,0.9516,0,1,32
103,400,19,19,-49.46,0.9511,0,1,32
104,400,30,30,-31.11,0.9506,0,1,32
105,400,26,26,-28.16,0.9501,0,1,32
106,400,25,25,-30.41,0.9496,0,1,32
107,400,25,25,-35.96,0.9492,0,1,32
108,400,22,22,-36.96,0.9487,0,1,32
109,400,17,17,-50.26,0.9482,0,1,32
110,400,19,19,-52.06,0.9477,0,1,32
111,400,14,14,-53.76,0.9473,0,1,32
112,400,21,21,-41.76,0.9468,0,1,32
113,400,22,22,-38.56,0.9463,0,1,32
114,400,28,28,-28.91,0.9458,0,1,32
115,400,17,17,-45.26,0.9454,0,1,32
116,400,15,15,-51.51,0.9449,0,1,32
117,400,22,22,-42.31,0.9444,0,1,32
118,400,19,19,-43.91,0.9439,0,1,32
119,400,31,33,-28.36,0.9435,0,1,32
120,400,37,37,-28.81,0.943,0,1,32
121,400,23,23,-34.71,0.9425,0,1,32
122,400,13,13,-45.36,0.9421,0,1,32
123,400,14,14,-51.71,0.9416,0,1,32
124,400,20,20,-40.16,0.9411,0,1,32
125,400,26,26,-30.91,0.9406,0,1,32
126,400,28,28,-34.76,0.9402,0,1,32
127,400,24,24,-28.91,0.9397,0,1,32
128,400,18,18,-46.91,0.9392,0,1,32
129,400,23,23,-39.66,0.9387,0,1,32
130,400,19,19,-44.21,0.9383,0,1,32
131,400,22,22,-36.31,0.9378,0,1,32
132,400,26,26,-33.16,0.9373,0,1,32
133,400,26,26,-26.81,0.9368,0,1,32
134,400,15,15,-45.11,0.9364,0,1,32
135,400,16,16,-51.01,0.9359,0,1,32
136,400,15,15,-42.86,0.9354,0,1,32
137,400,22,22,-37.86,0.9349,0,1,32
138,400,28,28,-28.51,0.9345,0,1,32
139,400,17,17,-52.81,0.934,0,1,32
140,400,11,11,-61.46,0.9335,0,1,32
141,400,18,18,-41.86,0.933,0,1,32
142,400,25,25,-37.36,0.9325,0,1,32
143,400,23,23,-31.81,0.9321,0,1,32
144,400,23,23,-39.41,0.9316,0,1,32
145,400,24,24,-37.61,0.9311,0,1,32
146,400,31,31,-24.21,0.9306,0,1,32
147,400,18,18,-36.66,0.9302,0,1,32
148,400,15,15,-52.01,0.9297,0,1,32
149,400,19,19,-39.01,0.9292,0,1,32
150,400,33,33,-23.86,0.9287,0,1,32
151,400,22,22,-43.46,0.9283,0,1,32
152,400,15,15,-51.66,0.9278,0,1,32
153,400,30,30,-36.91,0.9273,0,1,32
154,400,21,21,-36.91,0.9268,0,1,32
155,400,23,23,-38.66,0.9264,0,1,32
156,400,22,22,-40.46,0.9259,0,1,32
157,400,22,22,-38.81,0.9254,0,1,32
158,400,30,30,-25.96,0.925,0,1,32
159,400,26,26,-29.66,0.9245,0,1,32
160,400,22,22,-31.16,0.924,0,1,32
161,400,33,33,-33.66,0.9235,0,1,32
162,400,26,26,-29.01,0.9231,0,1,32
163,400,24,24,-35.31,0.9226,0,1,32
164,400,22,22,-40.06,0.9221,0,1,32
165,400,21,21,-35.71,0.9216,0,1,32
166,400,17,17,-59.61,0.9212,0,1,32
167,400,23,23,-34.26,0.9207,0,1,32
168,400,18,18,-38.46,0.9202,0,1,32
169,400,23,23,-40.31,0.9197,0,1,32
170,400,21,23,-47.31,0.9193,0,1,32
171,400,22,22,-45.81,0.9188,0,1,32
172,400,19,19,-34.86,0.9183,0,1,32
173,400,22,22,-39.06,0.9178,0,1,32
174,400,26,26,-37.26,0.9173,0,1,32
175,400,21,21,-36.81,0.9169,0,1,32
176,400,25,25,-46.51,0.9164,0,1,32
177,400,27,27,-39.16,0.9159,0,1,32
178,400,23,23,-38.46,0.9154,0,1,32
179,400,20,20,-44.46,0.915,0,1,32
180,400,27,27,-32.51,0.9145,0,1,32
181,400,28,28,-27.71,0.914,0,1,32
182,400,26,26,-36.76,0.9135,0,1,32
183,400,15,15,-52.31,0.9131,0,1,32
184,400,26,26,-32.71,0.9126,0,1,32
185,400,19,19,-48.26,0.9121,0,1,32
186,400,26,26,-34.56,0.9116,0,1,32
187,400,17,19,-47.01,0.9112,0,1,32
188,400,21,21,-43.01,0.9107,0,1,32
189,400,15,15,-37.76,0.9102,0,1,32
190,400,36,36,-34.41,0.9098,0,1,32
191,400,25,25,-33.51,0.9093,0,1,32
192,400,20,20,-41.71,0.9088,0,1,32
193,400,36,36,-13.61,0.9083,0,1,32
194,400,18,18,-47.51,0.9079,0,1,32
195,400,27,27,-33.01,0.9074,0,1,32
196,400,25,25,-28.91,0.9069,0,1,32
197,400,22,22,-37.01,0.9064,0,1,32
198,400,37,37,-26.71,0.906,0,1,32
199,400,27,27,-31.61,0.9055,0,1,32
200,400,21,21,-46.71,0.905,0,1,32
201,400,26,26,-37.26,0.9045,0,1,32
202,400,23,23,-39.81,0.9041,0,1,32
203,400,24,24,-33.36,0.9036,0,1,32
204,400,30,32,-31.31,0.9031,0,1,32
205,400,23,23,-36.36,0.9026,0,1,32
206,400,31,31,-33.86,0.9022,0,1,32
207,400,24,24,-29.31,0.9017,0,1,32
208,400,27,27,-29.96,0.9012,0,1,32
209,400,25,25,-38.56,0.9007,0,1,32
210,400,25,27,-28.36,0.9002,0,1,32
211,400,27,27,-29.96,0.8998,0,1,32
212,400,27,27,-28.21,0.8993,0,1,32
213,400,24,24,-38.16,0.8988,0,1,32
214,400,31,31,-25.26,0.8983,0,1,32
215,400,18,18,-53.41,0.8979,0,1,32
216,400,29,29,-30.31,0.8974,0,1,32
217,400,24,24,-32.11,0.8969,0,1,32
218,400,16,16,-54.11,0.8964,0,1,32
219,400,25,25,-29.31,0.896,0,1,32
220,400,28,28,-28.36,0.8955,0,1,32
221,400,31,31,-34.61,0.895,0,1,32
222,400,29,29,-18.66,0.8945,0,1,32
223,400,32,32,-26.66,0.8941,0,1,32
224,400,22,22,-35.61,0.8936,0,1,32
225,400,29,29,-26.86,0.8931,0,1,32
226,400,24,24,-29.26,0.8926,0,1,32
227,400,37,37,-19.41,0.8922,0,1,32
228,400,30,30,-23.81,0.8917,0,1,32
229,400,26,26,-29.96,0.8912,0,1,32
230,400,29,29,-31.46,0.8908,0,1,32
231,400,29,29,-22.36,0.8903,0,1,32
232,400,31,31,-18.91,0.8898,0,1,32
233,400,30,30,-19.11,0.8893,0,1,32
234,400,31,31,-24.56,0.8889,0,1,32
235,400,32,32,-16.31,0.8884,0,1,32
236,400,29,29,-36.11,0.8879,0,1,32
237,400,24,24,-35.91,0.8874,0,1,32
238,400,33,33,-22.46,0.887,0,1,32
239,400,40,40,-18.51,0.8865,0,1,32
240,400,25,25,-32.71,0.886,0,1,32
241,400,9,9,-56.61,0.8855,0,1,32
242,400,22,22,-32.31,0.8851,0,1,32
243,400,35,35,-25.66,0.8846,0,1,32
244,400,32,32,-29.06,0.8841,0,1,32
245,400,21,21,-40.61,0.8836,0,1,32
246,400,28,28,-32.41,0.8831,0,1,32
247,400,34,34,-23.31,0.8827,0,1,32
248,400,14,14,-41.61,0.8822,0,1,32
249,400,21,21,-32.91,0.8817,0,1,32
250,400,31,33,-31.86,0.8812,0,1,32
251,400,27,27,-22.46,0.8808,0,1,32
252,400,29,29,-25.66,0.8803,0,1,32
253,400,28,28,-23.76,0.8798,0,1,32
254,400,24,24,-30.46,0.8793,0,1,32
255,400,30,30,-24.86,0.8789,0,1,32
256,400,16,16,-41.91,0.8784,0,1,32
257,400,27,27,-45.21,0.8779,0,1,32
258,400,24,26,-41.16,0.8775,0,1,32
259,400,28,28,-29.76,0.877,0,1,32
260,400,25,25,-35.31,0.8765,0,1,32
261,400,29,29,-27.71,0.876,0,1,32
262,400,22,22,-43.01,0.8756,0,1,32
263,400,31,31,-25.56,0.8751,0,1,32
264,400,25,25,-24.36,0.8746,0,1,32
265,400,26,26,-23.41,0.8741,0,1,32
266,400,24,24,-29.21,0.8737,0,1,32
267,400,28,28,-40.21,0.8732,0,1,32
268,400,25,25,-36.66,0.8727,0,1,32
269,400,22,22,-39.51,0.8722,0,1,32
270,400,26,26,-36.56,0.8718,0,1,32
271,400,31,31,-20.96,0.8713,0,1,32
272,400,36,36,-14.76,0.8708,0,1,32
273,400,31,31,-29.71,0.8703,0,1,32
274,400,37,37,-11.16,0.8699,0,1,32
275,400,30,30,-29.46,0.8694,0,1,32
276,400,29,29,-10.71,0.8689,0,1,32
277,400,35,35,-21.26,0.8684,0,1,32
278,400,31,31,-18.61,0.8679,0,1,32
279,400,31,31,-28.26,0.8675,0,1,32
280,400,30,30,-24.16,0.867,0,1,32
281,400,30,30,-27.41,0.8665,0,1,32
282,400,26,26,-30.26,0.866,0,1,32
283,400,42,42,-5.41,0.8656,0,1,32
284,400,33,33,-22.96,0.8651,0,1,32
285,400,16,16,-44.71,0.8646,0,1,32
286,400,23,23,-28.86,0.8641,0,1,32
287,400,31,33,-19.41,0.8637,0,1,32
288,400,27,27,-34.11,0.8632,0,1,32
289,400,31,31,-24.46,0.8627,0,1,32
290,400,35,35,-12.26,0.8622,0,1,32
291,400,18,18,-43.36,0.8618,0,1,32
292,400,25,25,-27.71,0.8613,0,1,32
293,400,15,15,-55.76,0.8608,0,1,32
294,400,22,22,-33.11,0.8603,0,1,32
295,400,28,28,-27.41,0.8599,0,1,32
296,400,23,23,-30.51,0.8594,0,1,32
297,400,14,14,-38.81,0.8589,0,1,32
298,400,24,24,-38.11,0.8585,0,1,32
299,400,25,25,-31.96,0.858,0,1,32
300,400,22,22,-30.11,0.8575,0,1,32
301,400,30,30,-18.96,0.857,0,1,32
302,400,34,34,-25.61,0.8566,0,1,32
303,400,31,31,-28.36,0.8561,0,1,32
304,400,32,32,-23.76,0.8556,0,1,32
305,400,26,26,-26.91,0.8551,0,1,32
306,400,36,36,-20.91,0.8547,0,1,32
307,400,28,28,-17.46,0.8542,0,1,32
308,400,25,25,-28.11,0.8537,0,1,32
309,400,23,23,-32.16,0.8532,0,1,32
310,400,27,27,-28.01,0.8528,0,1,32
311,400,35,35,-20.36,0.8523,0,1,32
312,400,27,27,-36.06,0.8518,0,1,32
313,400,32,32,-28.11,0.8513,0,1,32
314,400,29,31,-21.11,0.8508,0,1,32
315,400,31,31,-20.56,0.8504,0,1,32
316,400,39,39,-16.11,0.8499,0,1,32
317,400,24,24,-29.61,0.8494,0,1,32
318,400,28,28,-30.71,0.8489,0,1,32
319,400,29,29,-30.56,0.8485,0,1,32
320,400,30,30,-17.81,0.848,0,1,32
321,400,30,30,-27.31,0.8475,0,1,32
322,400,31,31,-23.41,0.847,0,1,32
323,400,28,28,-22.51,0.8466,0,1,32
324,400,39,39,-12.36,0.8461,0,1,32
325,400,22,22,-38.31,0.8456,0,1,32
326,400,32,32,-25.46,0.8452,0,1,32
327,400,24,24,-29.06,0.8447,0,1,32
328,400,29,29,-22.11,0.8442,0,1,32
329,400,31,31,-26.66,0.8437,0,1,32
330,400,35,35,-11.66,0.8433,0,1,32
331,400,27,27,-30.36,0.8428,0,1,32
332,400,29,29,-26.56,0.8423,0,1,32
333,400,31,31,-23.96,0.8418,0,1,32
334,400,39,39,-17.96,0.8414,0,1,32
335,400,32,32,-12.36,0.8409,0,1,32
336,400,32,32,-19.31,0.8404,0,1,32
337,400,30,30,-32.11,0.8399,0,1,32
338,400,21,23,-34.26,0.8395,0,1,32
339,400,28,28,-28.86,0.839,0,1,32
340,400,34,34,-18.86,0.8385,0,1,32
341,400,30,30,-28.46,0.838,0,1,32
342,400,32,32,-19.01,0.8376,0,1,32
343,400,37,37,-18.21,0.8371,0,1,32
344,400,38,38,-21.56,0.8366,0,1,32
345,400,34,34,-19.66,0.8361,0,1,32
346,400,35,35,-31.16,0.8357,0,1,32
347,400,37,37,-23.91,0.8352,0,1,32
348,400,34,34,-21.26,0.8347,0,1,32
349,400,35,35,-13.46,0.8342,0,1,32
350,400,36,36,-10.21,0.8337,0,1,32
351,400,42,42,-4.66,0.8333,0,1,32
352,400,33,33,-35.46,0.8328,0,1,32
353,400,38,38,-5.91,0.8323,0,1,32
354,400,30,30,-24.96,0.8318,0,1,32
355,400,33,33,-27.51,0.8314,0,1,32
356,400,33,33,-24.36,0.8309,0,1,32
357,400,25,25,-26.96,0.8304,0,1,32
